Region,Year,Month,MonthNum,Date,Metric,Value
East_Siberian,1979,Jan,1,1979-01-01,extent,1303711.475
East_Siberian,1980,Jan,1,1980-01-01,extent,1303711.475
East_Siberian,1981,Jan,1,1981-01-01,extent,1303711.475
East_Siberian,1982,Jan,1,1982-01-01,extent,1303711.475
East_Siberian,1983,Jan,1,1983-01-01,extent,1303711.475
East_Siberian,1984,Jan,1,1984-01-01,extent,1303711.475
East_Siberian,1985,Jan,1,1985-01-01,extent,1303711.475
East_Siberian,1986,Jan,1,1986-01-01,extent,1303711.475
East_Siberian,1987,Jan,1,1987-01-01,extent,1303711.475
East_Siberian,1989,Jan,1,1989-01-01,extent,1303711.475
East_Siberian,1990,Jan,1,1990-01-01,extent,1303690.946
East_Siberian,1991,Jan,1,1991-01-01,extent,1303711.475
East_Siberian,1992,Jan,1,1992-01-01,extent,1303711.475
East_Siberian,1993,Jan,1,1993-01-01,extent,1303690.988
East_Siberian,1994,Jan,1,1994-01-01,extent,1303690.765
East_Siberian,1995,Jan,1,1995-01-01,extent,1303711.475
East_Siberian,1996,Jan,1,1996-01-01,extent,1303711.475
East_Siberian,1997,Jan,1,1997-01-01,extent,1303711.475
East_Siberian,1998,Jan,1,1998-01-01,extent,1303711.475
East_Siberian,1999,Jan,1,1999-01-01,extent,1303690.564
East_Siberian,2000,Jan,1,2000-01-01,extent,1303711.475
East_Siberian,2001,Jan,1,2001-01-01,extent,1303711.475
East_Siberian,2002,Jan,1,2002-01-01,extent,1303711.475
East_Siberian,2003,Jan,1,2003-01-01,extent,1303711.475
East_Siberian,2004,Jan,1,2004-01-01,extent,1303711.475
East_Siberian,2005,Jan,1,2005-01-01,extent,1303711.475
East_Siberian,2006,Jan,1,2006-01-01,extent,1303711.475
East_Siberian,2007,Jan,1,2007-01-01,extent,1303711.475
East_Siberian,2008,Jan,1,2008-01-01,extent,1303711.475
East_Siberian,2009,Jan,1,2009-01-01,extent,1303711.475
East_Siberian,2010,Jan,1,2010-01-01,extent,1303711.475
East_Siberian,2011,Jan,1,2011-01-01,extent,1303711.475
East_Siberian,2012,Jan,1,2012-01-01,extent,1303711.475
East_Siberian,2013,Jan,1,2013-01-01,extent,1303711.475
East_Siberian,2014,Jan,1,2014-01-01,extent,1303711.475
East_Siberian,2015,Jan,1,2015-01-01,extent,1303711.475
East_Siberian,2016,Jan,1,2016-01-01,extent,1303711.475
East_Siberian,2017,Jan,1,2017-01-01,extent,1303711.475
East_Siberian,2018,Jan,1,2018-01-01,extent,1303711.475
East_Siberian,2019,Jan,1,2019-01-01,extent,1303711.475
East_Siberian,2020,Jan,1,2020-01-01,extent,1303711.475
East_Siberian,2021,Jan,1,2021-01-01,extent,1303711.475
East_Siberian,2022,Jan,1,2022-01-01,extent,1303711.475
East_Siberian,2023,Jan,1,2023-01-01,extent,1303711.475
East_Siberian,2024,Jan,1,2024-01-01,extent,1303711.475
East_Siberian,1979,Feb,2,1979-02-01,extent,1303711.475
East_Siberian,1980,Feb,2,1980-02-01,extent,1303711.475
East_Siberian,1981,Feb,2,1981-02-01,extent,1303711.475
East_Siberian,1982,Feb,2,1982-02-01,extent,1303711.475
East_Siberian,1983,Feb,2,1983-02-01,extent,1303711.475
East_Siberian,1984,Feb,2,1984-02-01,extent,1303711.475
East_Siberian,1985,Feb,2,1985-02-01,extent,1303711.475
East_Siberian,1986,Feb,2,1986-02-01,extent,1303711.475
East_Siberian,1987,Feb,2,1987-02-01,extent,1303711.475
East_Siberian,1988,Feb,2,1988-02-01,extent,1303711.475
East_Siberian,1989,Feb,2,1989-02-01,extent,1303688.969
East_Siberian,1990,Feb,2,1990-02-01,extent,1303711.475
East_Siberian,1991,Feb,2,1991-02-01,extent,1303711.475
East_Siberian,1992,Feb,2,1992-02-01,extent,1303711.475
East_Siberian,1993,Feb,2,1993-02-01,extent,1303711.475
East_Siberian,1994,Feb,2,1994-02-01,extent,1303711.475
East_Siberian,1995,Feb,2,1995-02-01,extent,1303711.475
East_Siberian,1996,Feb,2,1996-02-01,extent,1303711.475
East_Siberian,1997,Feb,2,1997-02-01,extent,1303711.475
East_Siberian,1998,Feb,2,1998-02-01,extent,1303711.475
East_Siberian,1999,Feb,2,1999-02-01,extent,1303711.475
East_Siberian,2000,Feb,2,2000-02-01,extent,1303711.475
East_Siberian,2001,Feb,2,2001-02-01,extent,1303711.475
East_Siberian,2002,Feb,2,2002-02-01,extent,1303711.475
East_Siberian,2003,Feb,2,2003-02-01,extent,1303711.475
East_Siberian,2004,Feb,2,2004-02-01,extent,1303711.475
East_Siberian,2005,Feb,2,2005-02-01,extent,1303711.475
East_Siberian,2006,Feb,2,2006-02-01,extent,1303666.327
East_Siberian,2007,Feb,2,2007-02-01,extent,1303711.475
East_Siberian,2008,Feb,2,2008-02-01,extent,1303711.475
East_Siberian,2009,Feb,2,2009-02-01,extent,1303711.475
East_Siberian,2010,Feb,2,2010-02-01,extent,1303711.475
East_Siberian,2011,Feb,2,2011-02-01,extent,1303711.475
