,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,606893.658,45,706099.317,31
1979,840498.561,15,922075.196,6,1031144.947,15,904254.808,10,789391.835,27,581559.2,36,266857.7,36,70360.389,41,36028.987,39,109447.816,33,480113.733,38,743776.569,34
1980,870924.628,21,958526.404,9,1036412.094,16,983828.079,26,813411.383,32,579975.678,35,298696.412,40,59139.489,38,25742.736,18,122165.33,35,410983.081,27,688569.466,26
1981,928643.884,28,1023671.618,17,951153.228,7,966782.27,25,807937.058,30,527055.01,29,208647.411,30,44833.235,31,30315.646,29,71870.865,19,409030.219,26,704472.29,28
1982,853589.217,16,1132306.39,35,1211558.994,37,1099459.619,40,961648.008,42,693276.146,45,273867.893,38,61428.104,39,41946.071,41,181437.281,41,567686.028,42,949026.679,45
1983,1344357.444,44,1411802.828,44,1448513.411,45,1336879.236,46,1004132.325,44,700492.943,46,378127.415,46,128269.166,45,65037.34,45,207974.965,44,616206.932,46,922757.692,44
1984,1352687.243,45,1493352.85,46,1374131.848,44,1283182.03,45,1054911.269,46,692033.942,44,302207.176,42,55025.335,36,29715.076,27,91224.095,28,406969.237,25,892037.294,43
1985,1119230.678,40,1158142.194,36,1229934.259,39,1095967.299,38,870215.733,38,520705.187,27,136933.117,15,31704.746,18,27286.91,21,76864.312,21,392734.335,21,627838.171,17
1986,860828.359,19,969564.955,11,1057288.334,20,933987.085,16,737662.169,16,557066.914,33,333038.535,44,94441.838,44,28500.658,25,267378.747,45,638272.721,47,873309.149,42
1987,1058729.505,37,1116347.352,32,1084437.721,26,1089998.278,37,882075.261,39,650603.424,41,300755.608,41,48398.989,32,21253.58,14,157871.088,40,474216.615,36,,
1988,,,1122067.902,34,1068307.455,23,965922.738,24,804818.739,29,569047.926,34,232041.983,34,49552.45,34,13939.369,2,42192.478,5,367611.488,18,727488.906,33
1989,994036.976,34,1168122.644,37,1193665.498,33,1058922.068,33,820853.334,34,603127.345,38,269868.981,37,66694.483,40,37693.418,40,155005.915,38,499135.011,40,758913.619,35
1990,1124221.818,41,1334781.677,42,1329860.522,43,1136147.243,42,929264.671,40,608514.911,39,213306.849,31,27942.135,16,27379.369,22,188579.638,42,568143.711,43,840946.294,39
1991,1219302.816,42,1338614.136,43,1287561.467,42,1215638.88,43,1017733.936,45,667409.433,43,238506.34,35,40234.709,28,30219.905,28,94683.883,30,456519.465,34,787241.379,38
1992,1069124.878,38,1307519.571,40,1228747.845,38,1084515.397,36,960229.531,41,646845.618,40,327036.488,43,83021.544,43,50596.611,44,76331.383,20,458943.044,35,863888.151,40
1993,1325296.452,43,1462779.768,45,1470519.833,46,1280232.597,44,990511.502,43,603126.577,37,298242.861,39,80437.959,42,48815.975,43,123053.123,36,581867.448,44,868016.386,41
1994,1078793.134,39,1318887.111,41,1268010.241,41,1097312.672,39,820416.674,33,536648.074,31,204187.341,28,36168.089,23,27523.587,23,136940.798,37,428742.301,31,771817.773,36
1995,1023039.811,35,1170138.887,38,1196998.783,35,1048310.792,31,732768.189,14,507535.93,25,225179.074,32,48424.565,33,35986.221,38,156036.165,39,394051.11,22,692942.264,27
1996,952876.334,32,1076610.651,26,1044027.218,19,939445.448,17,772440.936,21,654629.415,42,364232.057,45,141584.782,46,80773.767,46,270172.382,46,556628.579,41,687889.499,25
1997,814039.194,11,1098257.139,30,1139388.231,29,994390.502,27,776635.752,22,521662.316,28,183942.496,26,43484.768,30,43024.58,42,189156.137,43,454621.372,33,642808.327,19
1998,884899.129,23,1046105.644,19,1057649.044,21,931043.046,15,721353.116,13,464260.922,18,167225.488,22,37239.749,25,31980.793,31,83496.979,24,346894.95,14,573983.96,9
1999,860478.467,18,1055607.444,22,1062272.792,22,919203.596,14,829450.016,36,550370.159,32,225209.98,33,58093.023,37,32853.432,33,97976.315,31,477212.884,37,712953.046,32
2000,915963.648,26,1088424.7,28,1138024.792,28,944484.118,19,786115.656,24,472290.91,20,154040.586,20,31900.401,19,34082.603,34,93724.417,29,367226.296,17,626860.31,16
2001,876337.007,22,1089311.893,29,1001452.213,14,946912.506,20,767405.422,20,469112.45,19,152224.41,19,34164.226,22,34389.499,36,79626.905,22,355712.07,16,615672.279,15
2002,769784.448,8,997174.38,14,1082520.868,25,955160.708,21,733541.809,15,458828.123,16,146511.783,17,32437.631,20,26228.807,19,50324.384,11,230145.159,6,547967.178,6
2003,742061.276,4,989924.184,12,1041501.967,18,939793.62,18,693187.471,10,357358.864,3,88604.511,6,26529.575,14,23636.026,16,43116.339,6,281039.85,12,564712.529,7
2004,745823.069,6,861060.134,3,961566.983,9,880519.558,8,675179.793,5,460744.177,17,181469.818,24,40901.516,29,26641.83,20,47977.108,9,370549.923,19,669400.677,21
2005,920833.87,27,990570.444,13,850498.951,2,809928.641,2,689999.672,9,447971.622,15,158737.488,21,23830.832,11,20392.873,11,86727.64,25,348541.619,15,546639.257,5
2006,828567.297,13,941080.227,8,843125.087,1,820538.364,3,640453.076,2,375703.871,5,101649.371,9,25766.172,13,20965.752,12,46375.685,8,207541.99,2,570962.563,8
2007,795072.905,10,870481.409,5,952784.883,8,960625.241,22,786965.84,26,438868.135,14,113933.333,12,24236.592,12,19864.505,9,66001.074,15,376193.66,20,672270.876,23
2008,1038168.545,36,1198482.865,39,1244280.069,40,1037003.661,30,752944.076,18,407990.911,10,121370.186,13,19716.449,7,22616.191,15,80394.012,23,426185.053,30,705591.892,29
2009,869055.548,20,1058367.479,23,1187784.173,32,1052861.228,32,780195.659,23,407617.307,9,111883.546,10,20340.595,8,20233.87,10,67413.29,16,400266.615,24,592668.064,12
2010,731808.124,3,817384.11,2,925220.04,4,877956.517,7,663974.829,4,392841.323,7,112512,11,21598.538,9,28593.751,26,65269.605,14,221460.555,4,429836.145,1
2011,555326.853,1,742400.051,1,888511.208,3,912644.367,12,681078.136,7,421764.338,11,78300.911,4,17076.74,3,17047.749,6,112167.376,34,397131.575,23,664210.224,20
