,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,745624.331,45,926473.071,34
1979,1090625.815,22,1157634.866,7,1299583.477,21,1137194.68,14,983083.453,14,820064.573,35,504284.512,36,165202.293,41,66901.96,36,187742.415,33,637056.954,37,926943.243,35
1980,1104871.464,23,1215999.908,13,1284177.396,19,1221357.854,27,1027215.512,20,786642.935,29,515729.857,38,151312.871,38,46345.79,17,225418.557,36,590062.722,30,871816.642,30
1981,1122447.922,27,1282707.945,23,1117472.461,5,1147369.831,15,1053485.477,25,771697.614,27,415502.457,30,109625.349,31,56034.229,27,137886.507,22,602163.22,31,885763.492,31
1982,1080833.934,19,1403639.746,36,1487905.095,37,1345921.021,35,1208206.701,40,957789.207,43,517703.555,39,152082.08,39,87540.466,43,312541.391,43,745311.522,44,1160506.105,45
1983,1569060.665,43,1655336.13,44,1720993.826,45,1631572.738,45,1312204.093,45,987350.863,45,677882.831,46,309552.543,45,149209.651,45,344933.504,44,791670.002,47,1122201.139,44
1984,1603222.081,44,1755069.784,45,1658777.572,44,1537293.132,44,1347243.858,46,996202.58,46,563924.204,41,134489.401,36,55393.392,26,163411.389,30,563783.31,25,1110308.561,43
1985,1390831.721,41,1423983.122,37,1564700.427,42,1364952.596,39,1171277.688,39,837841.722,36,306816.865,15,68561.857,16,45115.567,16,137115.77,21,545156.012,21,793270.105,18
1986,1113676.131,25,1242596.725,18,1351280.259,26,1199855.43,22,973720.164,12,756117.379,23,529012.971,40,233901.159,44,59637.39,30,411209.376,46,783921.322,46,1091453.076,42
1987,1274676.901,37,1360569.839,33,1324398.985,25,1351056.455,37,1134853.447,37,949169.148,42,568695.746,42,129895.363,34,44055.277,14,260647.999,40,625008.211,35,,
