,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,376073.565,42,679952.154,44
1979,897950.79,44,1018565.582,46,1057693.681,46,1096589.684,46,926799.193,46,600406.096,46,194627.915,45,30577.66,35,2659.513,24,44568.057,21,225238.613,25,540936.355,39
1980,706963.593,38,801183.868,42,787538.341,40,755282.312,37,625019.387,38,437129.349,41,187605.473,43,42417.136,39,18308.431,36,134025.145,39,464690.553,45,696779.128,45
1981,720990.281,40,709991.597,34,899981.691,44,989674.136,45,890580.283,45,513374.616,43,194237.554,44,47124.882,40,14766.514,35,68623.6,29,231672.27,26,592366.916,42
1982,903728.735,45,947206.307,45,914322.894,45,922184.503,42,668868.51,41,522178.174,45,273555.712,46,102282.379,46,98875.134,46,259273.722,46,431186.954,44,456392.515,31
1983,492639.338,25,607357.947,29,586952.105,23,637891.806,30,525048.216,30,256551.923,28,59580.646,26,10429.773,23,1944.588,20,40761.024,20,325155.806,34,564370.498,41
1984,556343.22,31,467866.237,18,602575.789,25,671990.262,33,455712.12,28,220941.894,26,32795.615,16,3340.247,14,594.124,11,17272.426,17,147186.824,19,303021.919,20
1985,545660.208,30,696928.083,32,605249.559,26,804600.758,39,637011.145,39,374146.96,37,77315.87,28,15272.777,25,6905.204,28,57512.851,28,264271.788,29,491832.78,35
1986,713578.227,39,727182.122,35,696110.232,35,750880.355,36,677547.683,42,416826.335,40,146245.541,37,24805.425,32,22070.177,37,109693.031,35,262561.788,28,506235.801,37
1987,612792.102,34,862270.843,43,841469.14,42,944821.276,43,664722.125,40,467864.045,42,185917.385,42,38863.67,37,25272.219,38,197846.072,43,342311.261,37,,
1988,,,733487.833,36,756452.482,38,814344.793,40,594065.975,37,354822.13,35,131104.074,35,39980.276,38,47513.004,42,242341.961,45,513440,47,646980.073,43
1989,742346.049,43,781628.218,40,659738.91,33,569899.342,23,430653.121,24,367386.174,36,176767.148,40,74673.639,45,65213.079,44,180421.559,41,317962.235,33,490814.215,34
1990,558726.346,32,506551.662,22,629656.164,28,491009.452,16,316187.744,18,205544.358,25,54263.685,22,23940.981,31,9721.051,31,45815.151,22,311326.83,32,435141.628,30
1991,523415.149,28,523718.184,24,630295.256,29,580333.859,25,525560.604,31,293141.863,31,89813.302,31,27820.797,34,8917.443,30,121250.254,38,369321.137,41,391229.578,25
1992,484429.707,23,579464.674,27,469623.744,11,519107.247,18,242124.63,8,192816.647,21,108173.049,33,26097.32,33,11425.656,33,183143.863,42,349300.5,38,434306.012,29
1993,506076.808,26,525462.119,25,614110.559,27,671310.682,32,531235.28,32,353512.524,34,185029.934,41,66145.749,44,70927.095,45,215412.951,44,335340.173,36,423211.616,28
1994,673090.531,35,778326.218,39,709335.182,37,652951.267,31,584495.155,35,312749.512,32,88900.791,30,10258.13,22,2514.883,23,109106.346,34,425343.092,43,419331.566,27
1995,523232.898,27,496905.315,19,481516.466,14,334822.582,5,311130.369,16,194484.275,23,57940.507,24,8320.861,21,1523.866,19,46827.774,24,357295.853,39,490810.711,33
1996,544517.759,29,697465.466,33,596492.087,24,622294.607,29,559372.758,34,340014.79,33,122460.498,34,18176.155,30,5223.451,27,87235.697,31,188713.521,20,392557.922,26
1997,595625.27,33,763186.175,38,657300.563,32,834214.744,41,539726.278,33,284933.581,30,136007.53,36,17366.324,28,3079.98,25,51722.423,25,334782.175,35,506883.983,38
1998,673966.076,37,908928.247,44,891104.521,43,949413.965,44,788245.946,44,514020.556,44,173477.123,39,31211.796,36,34170.537,39,152163.762,40,466221.644,46,560345.24,40
1999,721266.848,41,791815.829,41,764506.922,39,803219.612,38,736140.898,43,404756.297,39,102377.596,32,52440.127,43,38103.721,40,97890.625,33,202712.95,22,342479.297,22
2000,423110.175,19,502012.026,20,500398.898,19,519287.84,19,361687.793,21,193842.718,22,64311.52,27,2137.934,12,1405.578,18,13910.586,14,95274.248,13,292891.399,18
2001,380936.153,14,502595.87,21,699456.239,36,692094.145,34,434575.198,26,205183.361,24,21654.669,10,4815.611,17,526.17,7,17742.206,18,219952.111,24,289341.757,17
2002,464423.64,22,613412.702,30,668457.168,34,558317.285,22,478432.706,29,234095.707,27,38773.378,20,10864.86,24,13941.133,34,117822.504,36,361846.261,40,467330.448,32
2003,734837.293,42,744551.663,37,788230.189,41,705283.319,35,592375.217,36,387439.733,38,162069.342,38,50260.683,42,50366.883,43,120829.022,37,297580.103,31,494960.631,36
2004,673689.228,36,693111.538,31,647650.224,31,619194.623,28,432690.692,25,260012.956,29,88044.602,29,6980.028,20,2404.763,21,46781.164,23,241360.157,27,300085.293,19
2005,328178.321,12,327379.736,8,576435.382,22,614432.972,27,446509.932,27,188970.339,20,35261.693,19,1615.756,11,803.787,15,55603.839,27,204461.641,23,228606.228,14
2006,205994.127,4,360326.324,11,488362.487,16,355102.392,7,120061.24,2,56091.983,5,11231.504,7,1479.991,9,1300.003,16,82994.821,30,104823.931,14,152489.209,8
2007,237528.148,8,439029.096,15,355669.865,5,311366.465,3,249714.443,9,133528.729,15,26330.092,13,6759.18,19,526.985,8,12910.867,13,62974.162,11,171695.203,10
2008,242806.18,9,297100.536,6,406863.837,8,405669.584,12,324066.072,20,183585.377,19,56154.372,23,16503.926,26,10357.54,32,54029.477,26,196618.773,21,276704.515,15
2009,391668.653,16,425347.993,13,490874.545,17,536737.567,20,402282.808,23,129843.108,13,33398.827,17,17344.251,27,7907.706,29,15042.921,15,36039.37,7,197378.383,11
2010,390745.695,15,466298.568,17,631909.464,30,588371.486,26,223876.251,5,83989.65,8,13345,8,1366.86,4,2450.464,22,10008.563,7,143777.827,18,372729.671,24
2011,489113.527,24,580910.796,28,469731.185,12,460407.59,14,307895.854,15,131108.032,14,29959.152,14,3498.233,15,571.115,10,11889.439,10,75939.363,12,156002.613,9
2012,206598.716,5,228787.74,3,316010.849,2,345282.383,6,151180.664,3,34713.869,2,2017.068,3,1114.146,2,386.756,3,8537.104,4,22636.987,4,126254.701,5
