,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,542478.066,42,885240.599,44
1979,1107873.946,44,1211101.473,46,1215128.77,46,1233940.811,46,1193061.566,46,949447.691,46,412294.139,45,97077.557,38,10799.982,24,109962.103,27,377561.721,27,735381.129,40
1980,931059.729,41,1003847.217,42,999506.376,41,950533.253,36,836337.598,36,681033.892,40,363662.433,42,94509.248,37,49859.013,36,223938.977,39,623931.246,45,916408.949,45
1981,941792.085,42,893203.878,32,1096905.199,45,1163843.055,45,1157122.845,45,855617.85,45,383355.862,44,109316.621,42,39381.45,35,138589.64,29,354210.261,25,784661.611,42
1982,1112524.237,45,1143216.714,45,1086472.393,44,1100111.917,42,906553.109,41,783321.978,43,465041.49,46,213504.039,46,186206.273,46,395022.691,46,613847.303,44,638915.192,31
1983,697565.857,25,806046.028,29,798098.317,23,858860.744,30,729343.577,30,462480.023,29,153863.086,26,37173.095,24,7886.771,21,88320.572,21,477744.319,34,754093.9,41
1984,746870.085,29,669337.192,17,807797.716,24,878639.992,31,637957.612,26,416970.372,26,91937.805,20,11893.801,15,2442.752,11,43023.334,18,263543.779,19,481346.517,21
1985,752183.913,30,883535.262,31,813476.045,26,1013200.618,39,881575.619,40,605604.904,38,195391.832,30,44757.118,26,19400.344,28,110786.016,28,402748.299,29,701426.922,38
1986,879798.735,38,932751.22,36,892772.133,35,965799.546,37,863866.443,39,599990.874,37,270008.882,35,63943.818,31,49959.693,37,200154.7,35,391234.605,28,685292.225,35
1987,831425.209,34,1048902.996,44,1020191.857,42,1125478.342,43,930234.468,42,699475.903,42,351403.28,41,93711.479,36,62826.681,38,311074.358,43,484374.949,37,,
