,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,864282.77,20,878095.779,4
1979,873548.567,1,886586.828,2,889249.041,4,900393.168,7,858669.491,11,818370.701,40,697694.06,39,574282.704,38,500863.942,28,665635.949,26,859519.653,19,908007.355,20
1980,909011.09,8,898560.863,6,900993.531,5,920884.753,27,919546.812,44,812195.652,36,659804.113,31,578625.884,39,657682.895,41,726425.385,34,845455.546,17,877518.064,3
1981,883177.565,2,891201.497,3,906066.785,7,921600.995,28,888892.253,30,815291.487,37,567097.31,20,422793.243,21,504462.213,30,687350.843,29,876861.967,26,901276.149,12
1982,906537.201,7,868432.293,1,881186.782,1,895257.522,3,874876.77,21,770008.962,23,588082.827,24,547309.483,34,501836.284,29,736359.828,35,919722.24,46,918818.337,32
1983,910189.441,12,914018.196,12,912618.469,13,908226.674,10,910615.671,39,809423.529,35,693682.073,37,637521.439,42,700829.721,46,830988.634,44,897857.971,38,902928.325,15
1984,903780.902,5,908418.314,7,909465.712,9,921851.201,29,915823.314,42,817884.404,39,700015.859,40,608004.966,40,602682.907,38,750581.177,37,883741.321,29,900350.205,11
1985,910110.43,11,914551.873,13,918162.464,19,927983.166,40,911550.193,41,805268.914,33,712994.193,43,713942.735,45,678774.57,43,819155.872,43,882561.787,28,902197.941,13
1986,915477.072,18,910784.873,10,903640.673,6,905432.378,9,885867.991,28,817344.1,38,754783.151,46,669487.256,44,558358.451,36,756700.91,38,870308.799,24,880053.969,5
1987,888068.157,3,891649.009,4,887843.119,2,910639.164,12,896128.389,32,731976.407,16,501567.421,15,456671.818,25,547459.477,35,588571.443,21,892392.858,35,,
1988,,,919302.204,22,916494.614,16,916301.712,19,885641.65,27,756729.275,20,578219.3,23,472685.291,27,485225.566,26,763216.602,40,926122.358,47,925518.622,39
1989,924956.78,33,896162.056,5,887958.368,3,899981.5,6,908818.609,38,847037.228,43,703512.491,42,512054.939,32,524408.787,32,658541.984,25,907623.381,42,917098.67,28
1990,920572.824,29,918008.872,18,917119.012,17,917498.757,22,897067.304,33,791099.303,29,660471.337,32,635217.141,41,602917.308,39,705172.862,32,895350.324,36,924131.553,37
1991,919946.994,26,919058.806,21,925577.949,29,924608.787,31,827151.446,8,790419.767,28,748338.484,45,742457.778,46,679306.666,44,741898.056,36,884173.511,30,918413.423,31
1992,926002.645,37,926425.099,32,927444.748,33,924729.847,32,920751.702,45,861848.357,46,702614.534,41,649828.353,43,700706.759,45,858424.486,46,885404.889,31,917509.114,29
1993,913560.026,14,909839.328,9,922881.97,24,920573.281,26,872209.101,16,685387.274,11,451077.173,11,403100.059,18,423595.637,24,544317.876,12,830983.785,14,894308.216,10
1994,910400.586,13,917566.361,17,924082.483,25,924875.317,34,859893.696,14,860436.625,45,729174.721,44,566575.711,35,616920.156,40,788536.516,42,886464.919,32,919699.039,34
1995,918626.145,24,921898.969,25,927297.022,32,904199.995,8,810894.77,5,691628.316,12,502364.419,16,422246.68,20,497352.938,27,650549.902,24,869007.085,22,912350.112,22
1996,917778.012,23,916256.237,16,912631.266,14,919858.513,25,891300.695,31,808456.466,34,671882.667,33,569297.972,36,658214.631,42,843901.891,45,875576.92,25,910579.056,21
1997,920460.459,28,928828.41,37,927642.358,35,918169.8,24,899813.728,34,754029.233,19,569698.489,21,525909.717,33,533812.1,34,680430.576,28,866362.585,21,920645.225,35
1998,932641.907,43,925637.311,31,911688.014,12,878832.494,1,787830.643,3,537040.391,1,348060.248,3,261613.613,10,230164.554,11,433081.765,6,732441.451,1,881701.243,6
1999,916604.705,20,922238.657,26,928291.936,39,931333.056,43,886904.896,29,778346.733,24,621518.437,28,373148.483,17,366592.75,20,713878.234,33,911641.725,43,931585.348,44
2000,931695.795,41,935184.533,45,930595.365,43,931520.309,44,930416.136,46,801284.045,31,681600.046,35,493304.736,30,519127.848,31,757511.197,39,912732.709,44,924384.987,38
2001,927685.26,38,928646.783,36,933565.534,46,924039.329,30,918218.768,43,859541.125,44,694762.453,38,573079.089,37,461460.357,25,787840.855,41,900870.984,40,915955.413,27
2002,920433.063,27,926551.454,33,919162.358,20,912502.171,13,882040.512,25,804999.211,32,679470.002,34,475507.238,28,308924.292,15,666503.798,27,837929.637,15,864841.608,1
2003,889321.697,4,909023.601,8,911036.835,10,895843.202,5,858841.47,12,800018.463,30,556034.738,18,418636.866,19,337721.208,19,583307.611,20,839637.26,16,902842.821,14
2004,914313.383,16,919964.025,24,918037.235,18,924744.165,33,908288.448,37,720338.884,13,606863.913,27,452809.433,24,422303.075,23,687602.67,30,904111.621,41,929821.616,43
2005,917542.828,22,929935.834,38,930473.178,42,929694.515,41,874367.749,20,730404.905,15,604034.603,26,509252.924,31,573896.345,37,691349.975,31,918574.729,45,928987.411,41
2006,933951.346,45,914966.72,15,920920.751,23,926786.474,37,905639.687,36,834126.042,41,684329.63,36,478742.565,29,401457.296,22,526804.574,10,858491.736,18,886979.872,8
2007,915020.742,17,914686.62,14,913305.651,15,895552.159,4,872519.447,17,653040.679,7,436473.602,9,315214.944,12,313926.483,16,562333.6,16,807512.628,9,882000.086,7
2008,925055.491,34,923807.726,28,932158.856,44,908688.122,11,802934.255,4,540805.132,2,270739.492,1,115594.419,2,177476.068,7,542803.373,11,897182.616,37,912839.405,23
2009,916283.839,19,918597.576,19,920588.28,22,917219.724,20,902884.591,35,751571.335,18,551610.246,17,350741.378,15,318064.543,17,575762.93,18,880983.982,27,893397.021,9
2010,919320.121,25,926676.567,34,926308.537,30,915972.806,18,873825.55,19,656085.032,9,445507.18,10,294578.412,11,219419.087,10,580754.735,19,805413.088,8,917697.489,30
2011,914098.804,15,918851.379,20,929404.552,40,926313.591,36,857709.42,10,726960.665,14,430907.354,8,233071.929,9,187161.664,8,487571.311,8,898425.645,39,929497.367,42
2012,930597.586,40,930631.241,40,932594.924,45,926897.399,39,823900.54,7,582251.473,5,341557.664,2,91989.261,1,59027.333,1,247822.113,1,804014.872,7,932364.514,45
