,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,940219.39,40,940219.39,26.5
1979,940219.39,24,940219.39,30.5,940219.39,24.5,940219.39,27,934964.516,15,910991.276,23,879673.727,34,716672.225,26,625103.959,25,804376.308,27,940136.128,26,940219.39,26.5
1980,940219.39,24,940219.39,30.5,940219.39,24.5,940219.39,27,940136.178,29,939714.773,40,834385.806,25,742015.071,29,843395.148,42,892040.441,38,940219.39,40,940219.39,26.5
1981,940219.39,24,940219.39,30.5,940219.39,24.5,940219.39,27,940219.39,39,923217.501,30,851430.455,30,690514.59,24,692876.932,32,834387.795,31,939802.545,20,940219.39,26.5
1982,940219.39,24,940219.39,30.5,940219.39,24.5,940219.39,27,933041.157,13,879738.206,14,750241.928,16,720458.117,27,626697.498,26,841608.499,33,940219.39,40,940219.39,26.5
1983,940219.39,24,940174.839,2,940219.39,24.5,940219.39,27,940219.39,39,926838.471,32,860599.435,31,817714.094,40,870604.451,45,930746.627,43,940219.39,40,940219.39,26.5
1984,940219.39,24,940219.39,30.5,940219.39,24.5,940219.39,27,940219.39,39,937489.883,36,901344.032,37,862912.577,44,811711.741,40,913923.517,42,940219.39,40,940219.39,26.5
1985,940219.39,24,940219.39,30.5,940219.39,24.5,940219.39,27,940005.02,25,921552.901,28,902960.724,38,886917.083,45,854122.975,43,932795.576,44,940219.39,40,940219.39,26.5
1986,940219.39,24,940219.39,30.5,940219.39,24.5,940219.39,27,938784.847,22,933136.487,35,904354.668,40,801199.304,38,726061.879,35,896218.522,39,940177.473,29,940219.39,26.5
1987,940219.39,24,940219.39,30.5,940219.39,24.5,940219.39,27,940050.353,26,882269.005,15,696150.037,11,623838.724,15,679067.48,31,697286.709,14,936025.024,11,,
