,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,25714.333,24,127228.644,15
1979,164588.089,2,335513.041,7,398030.224,7,258390.384,5,105201.511,13,18455.717,26,2027.397,38,0,22,1728.635,46,8410.052,43,30934.404,27,223743.331,34
1980,463815.614,37,556051.792,34,550726.224,33,456548.042,31,189434.167,31,25765.417,37,2255.901,39,0,22,1455.59,45,7877.865,42,42603.424,32,254947.429,37
1981,460924.992,36,508013.307,28,500319.295,26,333553.948,11,119610.763,18,18497.295,27,2572.524,43,0,22,1256.84,44,6883.013,39,63150.681,41,274424.256,39
1982,348946.45,21,347380.962,9,415200.236,9,407591.84,24,213453.329,33,27374.782,40,2366.042,41,0,22,1108.812,42,9727.118,44,43043.929,34,166332.726,25
1983,417882.803,31,521856.687,33,532220.449,30,443165.794,30,146889.803,23,21344.902,33,2703.953,44,0,22,1119.874,43,13624.876,46,84205.594,47,105606.393,13
1984,256945.303,8,562369.986,35,582018.487,38,530730.824,39,269524.32,43,27176.185,39,2380.633,42,0,22,530.255,28,6951.569,40,34586.979,29,149936.176,22
1985,246254.268,6,279402.336,3,496628.209,25,569751.886,41,305593.492,45,35153.844,44,1865.101,37,6.143,44,760.383,38,10832.249,45,45878.29,36,88552.923,8
1986,322278.107,19,417648.721,18,520119.471,29,418725.67,26,148733.973,26,15771.142,19,2325.804,40,0,22,586.477,32,6881.291,38,26321.085,25,143670.278,19
1987,364829.834,23,487470.771,26,479610.353,23,440603.483,29,237174.596,37,40713.705,45,1484.953,35,0,22,550.522,30,4368.306,26,38771.515,31,,
1988,,,433504.424,21,579507.553,37,477690.204,33,138806.58,20,15259.749,18,940.959,27,0,22,654.871,33,3525.316,19,71221.507,44,349213.269,43
1989,512474.065,41,316911.147,6,303808.772,3,208832.599,3,80689.575,8,22368.704,34,1107.934,29,0,22,670.168,35,4825.882,30,45654.538,35,184332.034,27
1990,431491.56,32,612723.756,39,607184.304,40,421959.033,27,185358.919,30,14779.322,16,1148.472,30,0,22,518.918,27,4974.614,32,33530.592,28,204720.166,30
1991,390328.849,25,625659.466,41,565038.338,35,504878.501,38,215087.451,34,20447.51,30,1075.725,28,0,22,726.678,37,5112.934,33,27626.45,26,184005.087,26
1992,447601.094,35,512645.015,29,646841.925,42,491284.004,35,220238.18,35,34467.229,43,1254.647,31,0,22,555.703,31,7410.692,41,67121.839,43,321133.238,42
1993,389712.645,24,477516.21,25,501749.806,27,366645.885,17,109932.16,14,11848.808,13,1392.613,33,0,22,694.622,36,5352.786,34,18474.439,20,206189.618,31
1994,390474.695,26,352335.715,10,557446.438,34,504849.588,37,258414.982,42,20508.129,31,1538.646,36,0,22,905.454,41,6061.067,36,80763.113,46,360676.695,44
1995,501028.376,39,619772.199,40,586850.234,39,504164.277,36,143518.504,21,18044.898,25,1279.746,32,0,22,803.351,40,4901.717,31,22341.878,22,136941.03,17
1996,304921.758,16,408396.902,15,333134.022,4,262674.108,6,74635.663,7,22931.856,35,1470.085,34,0,22,656.433,34,5943.047,35,25300.812,23,165849.299,24
1997,302711.523,15,473763.475,23,496336.185,24,355454.054,16,98609.594,12,11360.65,11,859.987,25,0,22,420.273,23,3301.817,15,18225.427,19,222614.695,33
1998,490457.673,38,649226.196,43,546938.241,32,400628.398,22,181557.243,29,14908.453,17,826.638,23,0,22,321.144,17,3176.812,13,17079.231,17,185811.044,28
1999,413277.716,28,596048.395,37,622392.732,41,625267.467,44,284746.68,44,33816.101,42,921.425,26,0,22,415.036,22,3086.112,12,66587.216,42,391104.655,45
2000,627575.017,45,515989.76,30,514012.349,28,483252.677,34,205913.635,32,32757.08,41,703.256,21,0,22,312.412,16,3410.186,17,18490.657,21,91764.078,10
2001,298811.952,14,283518.394,4,392789.77,6,396201.356,21,165117.395,28,11548.276,12,847.231,24,0,22,242.387,13,4789.203,29,71568.685,45,276995.879,40
2002,510562.982,40,660542.255,44,445950.938,17,314225.895,9,110350.745,15,16389.899,20,686.407,19,0,22,226.475,12,4120.641,23,13220.957,12,80500.844,7
2003,270363.787,10,408464.47,16,426415.411,13,285291.792,8,60180.514,5,18671.781,28,552.237,14,0,22,125.084,5,2694.363,3,12254.333,10,148611.47,21
2004,252099.894,7,426603.468,20,452438.17,18,335352.575,12,84244.853,9,17518.4,24,546.941,13,0,22,77.363,1,4289.434,25,16535.149,15,146073.755,20
2005,238504.857,5,409933.587,17,417914.811,10,431657.801,28,128020.025,19,16516.911,22,598.79,16,0,22,534.2,29,2624.504,1,53216.029,39,297992.336,41
2006,557259.413,43,521346.198,32,460129.076,19,463931.131,32,240496.388,39,26992.213,38,720.403,22,0,22,385.498,20,2890.498,8,16532.176,14,129241.507,16
2007,435823.134,33,367530.129,12,537738.123,31,395279.22,20,148124.686,24,7864.418,6,606.376,17,0,22,468.39,26,2653.471,2,11625.749,7,89889.036,9
2008,398527.886,27,597571.86,38,714705.445,45,599718.449,43,243169.678,41,8024.839,7,440.705,9,0,22,203.573,9,3798.587,22,42805.894,33,202339.562,29
2009,513179.143,42,626467.586,42,575027.822,36,634183.027,45,226072.261,36,16487.254,21,309.464,1,0,22,192.959,7,3011.024,11,52455.736,38,238889.166,36
2010,413646.968,29,584920.418,36,697212.84,44,579966.265,42,239048.636,38,10613.388,9,420.36,7,0,22,118.002,4,2835.309,7,9603.675,5,103059.771,12
2011,360297.829,22,474488.424,24,428536.505,14,401159.288,23,116968.575,17,6395.222,4,340.119,3,0,22,368.931,19,2722.59,4,37176.279,30,231488.049,35
2012,573209.807,44,685342.564,46,814056.822,46,730216.84,46,357256.097,46,42380.142,46,412.575,5,0,22,214.775,10,2924.316,9,53931.021,40,259301.195,38
2013,446582.941,34,660626.431,45,673933.528,43,553786.307,40,242341.083,40,23925.153,36,319.691,2,0,22,104.556,3,3644.239,21,16841.713,16,93454.774,11
2014,295099.448,13,361131.409,11,469610.712,21,345491.542,13,88746.81,10,19683.876,29,460.388,10,0,22,220.837,11,2952.176,10,10348.455,6,79515.1,6
