,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,65556.315,23,239632.784,15
1979,320266.65,3,541778.338,7,638262.988,14,423025.159,5,215587.216,12,61836.278,32,5758.1,35,0,22,4215.978,46,28430.871,43,83424.925,28,373071.537,33
1980,645635.675,32,804540.706,35,811736.438,35,726018.225,33,391240.604,32,76716.315,38,6398.683,40,0,22,3898.599,44,26045.709,42,99417.714,33,428744.854,39
1981,667107.664,36,740832.575,30,739331.691,27,522117.381,10,249802.01,17,56882.429,27,6787.654,43,0,22,4060.381,45,24328.105,40,136245.138,41,415359.063,37
1982,532081.786,21,558589.084,8,611289.254,8,608333.754,21,411431.885,35,70625.949,36,6134.759,37,0,22,3373.778,41,30759.465,44,105219.629,34,308409.128,25
1983,636575.269,30,760695.371,32,786739.315,30,668697.379,30,286944.415,20,67727.742,33,7227.69,44,0,22,3216.116,40,41480.602,46,182314.968,47,227533.833,14
1984,427775.676,8,816376.361,37,887004.782,42,807328.054,40,484305.662,42,78949.419,39,6540.846,42,0,22,1567.284,24,24320.58,39,86474.972,29,271105.886,19
1985,416043.944,5,466313.456,4,730472.921,24,788081.691,39,515452.361,43,101215.318,43,5385.605,32,40.415,44,2130.472,30,31882.355,45,115064.47,37,195823.128,10
1986,519480.613,19,636392.884,20,777921.415,29,659614.238,28,311178.372,24,51168.903,22,6143.237,38,0,22,2210.436,31,22529.05,37,70635.691,24,281321.6,21
1987,561124.82,22,691182.236,24,671618.616,20,632377.211,24,431538.396,37,106023.888,45,4591.168,29,0,22,2291.433,32,15970.546,26,95967.581,32,,
1988,,,640431.522,21,821867.307,36,759898.303,36,300144.818,21,55068.386,25,4141.753,27,0,22,2372.224,33,13232.419,22,149907.5,44,540480.96,43
