,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,709872.757,39,720465.199,17
1979,712631.336,4,710186.169,2,712816.328,3,726895.252,15,729914.076,40,707735.107,46,545235.523,43,516168.164,46,484762.831,46,630067.745,46,698431.688,29,719781.107,15
1980,718614.83,9,719511.277,9,721637.95,9,727425.516,16,720137.247,31,637411.36,37,511942.132,40,327420.47,34,363918.509,41,577760.302,42,697373.9,27,715271.96,9
1981,711648.339,3,710541.134,3,722070.889,10,721820.528,6,709949.623,16,605611.012,25,458915.658,20,253030.25,16,214860.526,14,451951.193,19,681257.598,16,712198.954,5
1982,713497.756,5,712691.769,5,718625.445,6,725879.9,13,731506.02,41,647930.207,42,526753.249,42,346822.128,37,328245.794,39,590525.416,43,720051.574,44,727953.435,23
1983,721158.351,12,718804.601,8,719754.121,8,725952.093,14,735466.67,43,644562.062,40,545634.742,44,341098.428,35,241730.483,20,543749.597,36,700319.838,33,711947.164,3
1984,710980.545,1,713179.206,6,714614.848,4,723488.834,8,728471.458,37,652893.609,44,489057.408,35,295482.094,22,271913.243,30,521361.135,29,695035.134,23,711045.324,2
1985,713634.124,6,711099.991,4,709973.575,2,720784.263,5,716800.496,27,639020.554,38,465773,28,302762.176,26,230858.551,18,531623.273,32,701239.529,34,714405.068,8
1986,711419.493,2,705507.661,1,701050.698,1,710413.739,1,714474.828,25,649987.967,43,546218.57,45,463082.208,45,412003.684,45,601438.434,45,717590.819,43,719158.105,14
1987,719584.457,11,727465.869,18,727474.17,15,731641.835,23,738842.458,46,675297.982,45,553393.444,46,368309.516,41,323408.1,38,548209.807,38,683193.613,18,,
1988,,,716597.155,7,717452.608,5,711396.712,2,691992.161,8,587219.332,19,451695.417,18,295703.945,23,260374.167,24,424106.541,16,707980.598,38,732943.08,31
1989,734067.007,27,725227.576,12,718670.088,7,725536.021,12,721186.081,34,620746.557,31,475526.217,33,291560.097,21,261019.684,25,525259.212,31,722617.472,45,739420.741,40
1990,747659.291,44,732378.586,26,729513.8,18,728146.626,20,726761.713,36,644789.227,41,521032.449,41,373623.801,42,353983.541,40,550714.218,39,723759.756,47,733258.221,32
1991,735924.714,30,726748.755,15,725052.383,13,733189.878,29,712286.518,19,606175.787,26,497241.142,36,322884.599,32,296115.591,34,546191.286,37,714815.093,42,742973.104,45
1992,739366.636,35,736056.268,31,737678.411,36,736706.597,37,718626.529,30,630579.329,35,504614.818,38,422819.068,44,406810.013,44,592992.865,44,709990.153,40,730073.394,25
1993,733642.701,25,727756.745,21,729660.998,19,724289.998,10,690842.065,7,597144.416,23,451354.867,17,297989.344,24,253812.31,21,495560.99,25,704336.869,36,730815.819,27
1994,726827.026,17,727620.628,20,733798.748,28,731132.334,21,700709.895,12,576752.462,15,444862.653,16,261715.952,17,263604.561,27,507589.375,26,672872.838,12,732908.948,30
1995,729616.703,19,729203.75,23,731988.551,22,732566.716,27,714187.946,23,547955.589,4,452374.586,19,280490.264,19,255994.38,22,537117.469,33,697220.467,26,734544.522,34
1996,728806.958,18,726703.421,14,725190.137,14,733504.312,30,712339.408,20,593131.428,21,434901.058,14,346674.248,36,298670.684,35,514683.371,28,675997.582,14,712386.003,6
1997,719129.411,10,721836.143,10,727917.909,16,722551.98,7,713657.06,22,626561.725,32,462947.975,25,362884.87,39,387761.673,43,570209.505,41,697449.656,28,719997.363,16
1998,734568.118,28,727592.521,19,724507.912,12,716493.526,3,659468.686,1,507991.38,1,393530.92,3,202928.391,7,112511.397,2,334990.172,6,638355.082,4,715372.811,10
1999,739246.606,34,737123.557,34,737659.336,35,735078.654,33,716061.131,26,589401.776,20,439331.604,15,252652.8,15,167568.039,8,485850.678,22,696958.886,25,736364.391,38
2000,736713.672,31,726851.863,16,734283.067,29,736158.349,35,720908.769,33,584419.317,17,481447.252,34,267812.682,18,217447.113,16,541844.244,35,723158.563,46,741642.597,44
2001,739639.484,36,741189.01,40,743732.926,42,735645.233,34,711556.816,18,602619.206,24,463539.2,26,317350.94,30,268050.543,29,480929.625,21,689531.643,19,716397.221,12
2002,722123.273,13,725868.903,13,722993.697,11,724011.412,9,729603.882,39,606175.879,27,511632.178,39,320730.585,31,263672.952,28,491105.397,23,682030.93,17,712093.558,4
2003,714928.179,7,721887.158,11,728297.86,17,725089.802,11,706952.439,15,629655.6,34,474010.248,32,367953.091,40,316347.662,37,445053.92,18,665782.951,9,726501.235,21
2004,737429.179,32,736820.681,32,732296.172,23,733914.095,32,736205.591,45,632696.994,36,497645.545,37,389067.623,43,378951.09,42,566835.079,40,707498.169,37,740015.513,41
2005,738147.175,33,744334.649,43,742449.915,41,732384.226,26,710480.669,17,593314.069,22,460179.291,22,303886.229,27,281487.265,31,521865.813,30,693940.034,21,730920.102,28
2006,742729.748,38,736050.141,30,738105.522,38,731254.557,22,702585.168,13,585766.293,18,422359.544,10,241371.722,14,193681.963,12,315096.411,4,650695.36,6,721993.65,18
2007,729716.238,20,729126.734,22,732517.414,24,728054.363,19,712985.135,21,559224.855,8,419837.995,8,175028.141,5,158794.158,7,389533.672,12,699352.431,31,727337.8,22
2008,733777.585,26,726964.878,17,732634.514,25,731974.569,24,697223.298,9,557335.956,7,467334.524,30,218204.335,10,191327.078,11,402696.762,13,676728.498,15,718897.531,13
2009,723140.107,14,737293.149,35,730051.975,21,732073.213,25,720223.119,32,628884.122,33,464893.128,27,305695.155,28,239176.768,19,495264.447,24,699011.463,30,714082.419,7
2010,725652.88,16,737522.776,36,733623.941,27,718422.058,4,686894.418,4,569222.83,11,415029.054,7,203444.749,8,170052.209,9,385919.157,10,641581.719,5,722646.607,19
2011,717495.231,8,732179.065,25,736483.311,34,737028.346,39,714190.863,24,572089.845,13,404464.026,6,145003.011,1,117692.717,4,360670.19,7,694770.537,22,734174.67,33
2012,742836.565,39,738994.413,37,739979.701,39,743198.227,44,733062.329,42,577448.336,16,396116.458,4,146746.422,2,96172.007,1,316465.733,5,661543.41,8,741186.343,42
