,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,761228.252,40,761228.252,27
1979,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,761228.252,44.5,757737.899,45,727128.34,44,662072.567,46,613974.592,46,715910.089,46,761228.252,40,761228.252,27
1980,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,761228.252,44.5,744338.504,30,709141.539,40,517089.783,26,528541.73,40,672150.264,31,761228.252,40,761228.252,27
1981,761228.252,27.5,761228.252,25,761228.252,26.5,761186.708,10,759628.421,22,728186.307,18,649941.075,10,424415.828,10,329522.757,11,603717.68,17,760322.281,19,761228.252,27
1982,761228.252,27.5,761228.252,25,761106.803,2,761228.252,29.5,761104.232,41,748703.185,37,705948.361,38,528546.637,29,482702.076,35,702776.909,43,761145.462,24,761228.252,27
1983,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,761228.252,44.5,751787.399,40,741155.318,46,544081.333,31,388457.853,18,680511.485,36,760937.346,22,761228.252,27
1984,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,760909.107,33,750149.758,38,693523.463,32,482603.532,20,408792.935,21,679533.728,35,761228.252,40,761106.554,3
1985,761228.252,27.5,761228.252,25,761228.252,26.5,761185.697,7,761056.744,38,745829.487,32,673889.127,25,471457.417,18,365536.415,14,684036.609,38,761228.252,40,761228.252,27
1986,761228.252,27.5,761228.252,25,761228.252,26.5,761228.252,29.5,760949.64,35,747838.919,35,701515.762,35,628254.921,45,555497.193,43,708236.28,44,761185.153,26,761228.252,27
1987,761185.566,6,761228.252,25,761228.252,26.5,761186.319,9,761186.374,42,757141.987,44,719770.277,43,567367.151,38,510075.213,38,657729.949,26,750676.114,9,,
