,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,1905100.824,5,1945957.152,7
1979,1956178.071,5,1968866.238,7,1958528.131,6,1984611.175,7,2001099.542,9,1936522.046,6,1766630.811,4,1742646.874,5,1605281.913,3,1761172.508,2,1883364,4,1957402.794,8
1980,1960442.006,8,1969448.627,8,1978324.501,8,1990737.308,8,1982430.264,7,1903599.339,2,1793146.679,7,1747601.776,6,1763273.46,8,1816692.905,7,1912364.759,6,1937017.019,5
1981,1959123.01,7,1958284.893,6,1970479.655,7,1980362.655,6,1970163.292,6,1923324.284,4,1767173.57,5,1706908.225,3,1712860.796,6,1850248.266,8,1924123.436,8,1960041.338,9
1982,1973870.953,9,1979872.868,9,1979654.781,9,1996334.184,9,1991248.204,8,1977397.47,9,1858415.709,9,1794150.543,8,1663240.895,4,1764519.667,3,1870199.485,3,1919029.498,3
1983,1929158.307,3,1934134.571,2,1925884.469,2,1950447.343,1,1964640.841,3,1908111.709,3,1739974.249,3,1719574.366,4,1677871.675,5,1810692.733,5,1944473.449,9,1945378.772,6
1984,1955080.79,4,1936981.776,3,1954960.498,5,1972610.207,5,1947995.51,1,1927753.667,5,1690955.828,2,1595517.988,1,1483912.394,1,1639053.769,1,1815763.039,1,1845167.08,1
1985,1865679.879,2,1940836.83,4,1924399.429,1,1967114.252,4,1966954.964,4,1894655.425,1,1669736.728,1,1624505.904,2,1566531.985,2,1774926.732,4,1921069.874,7,1932759.784,4
1986,1958376.153,6,1947670.45,5,1942455.263,4,1950713.351,2,1968507.65,5,1972403.597,8,1800542.185,8,1771695.672,7,1723045.638,7,1811600.788,6,1868232.763,2,1885953.425,2
1987,1864904.419,1,1930305.412,1,1935239.796,3,1952109.704,3,1949932.514,2,1953789.442,7,1776932.706,6,,,2644080.618,46,2791045.027,44,2860651.701,33,,
1988,,,2888652.062,26,2892564.444,29,2894479.976,29,2810862.539,12,2778450.286,18,2619879.403,34,2603872.2,41,2578222.456,44,2758984.108,40,2873941.544,34,2893598.499,30
1989,2899079.202,29,2892334.812,28,2883677.397,24,2884379.658,25,2859557.896,25,2814091.75,28,2691080.037,43,2616788.091,42,2375180.478,23,2519505.763,15,2709686.502,12,2801782.723,16
1990,2766131.27,12,2755535.973,10,2819894.93,10,2807376.162,10,2793881.364,11,2812131.759,25,2599358.747,32,2643224.906,45,2461538.57,35,2621857.578,24,2822360.718,27,2846686.344,23
1991,2835701.36,18,2831965.048,15,2857921.1,14,2862807.158,17,2869721.848,28,2812373.534,26,2543016.761,27,2474058.364,35,2293456.548,16,2612389.211,22,2762441.632,17,2796158.552,15
1992,2850747.234,21,2878614.667,22,2858003.009,15,2870661.381,19,2843602.065,18,2804683.751,24,2528175.173,25,2488691.907,38,2428776.46,30,2682050.806,31,2823443.257,28,2858033.065,27
1993,2874239.873,23,2863832.499,19,2890621.026,26,2871507.439,20,2849997.741,20,2730153.531,13,2450407.068,16,2483258.974,37,2531329.78,42,2712725.431,35,2776368.009,23,2804676.719,18
1994,2843777.67,19,2869435.745,21,2877831.3,22,2879590.478,24,2874026.02,29,2753173.806,15,2367471.984,10,2416479.244,27,2450315.691,33,2717551.835,36,2855377.249,32,2862688.242,28
1995,2884505.157,28,2889661.948,27,2891407.716,28,2851361.881,12,2829781.561,14,2784520.386,20,2508913.066,22,2471836.649,34,2483120.331,41,2477902.713,12,2777984.077,24,2829621.745,20
1996,2822789.136,15,2833921.927,16,2840838.467,11,2854208.547,14,2838909.779,16,2784426.359,19,2638969.709,36,2414768.058,26,2378186.452,24,2673825.181,30,2768971.791,20,2871173.054,29
1997,2879812.756,25,2893709.955,29,2871562.406,19,2878949.971,23,2863362.923,26,2787857.707,22,2555464.068,28,2558114.301,40,2462218.728,37,2573148.104,19,2773221.995,22,2802930.38,17
1998,2830616.291,17,2867009.466,20,2867185.467,16,2869350.45,18,2840046.628,17,2785345.726,21,2473196.911,17,2330325.862,16,2367292.716,22,2657801.248,29,2783926.781,25,2847016.585,24
1999,2875322.674,24,2882392.018,25,2891093.503,27,2887218.403,26,2858289.718,23,2769768.21,16,2475160.97,18,2511910.17,39,2463373.624,38,2643752.177,27,2763380.995,18,2840188.537,22
2000,2804088.27,14,2879296.684,23,2870951.906,17,2889800.799,27,2855910.844,21,2684714.18,11,2388725.583,11,2398276.423,19,2350325.873,20,2591555.63,20,2716881.637,13,2816721.442,19
2001,2848070.53,20,2813529.082,12,2884311.086,25,2894346.051,28,2857484.29,22,2738550.383,14,2444857.23,15,2417825.344,28,2295313.216,17,2502607.762,14,2773177.408,21,2756173.12,13
2002,2786034.416,13,2838115.453,17,2875871.939,21,2872294.113,21,2865667.811,27,2813982.057,27,2586195.677,31,2411065.423,25,2415213.356,28,2546359.539,17,2734510.881,15,2718317.569,10
2003,2756388.81,11,2824821.428,14,2853323.581,13,2860443.043,15,2829820.219,15,2794685.123,23,2493682.116,19,2433217.833,30,2363953.223,21,2621620.646,23,2784607.626,26,2852822.01,25
2004,2880314.162,26,2879428.854,24,2871375.102,18,2852481.263,13,2827595.783,13,2770538.752,17,2434179.893,14,2427904.577,29,2457978.777,34,2644456.657,28,2839696.565,29,2855368.213,26
2005,2866969.461,22,2822403.634,13,2879853.849,23,2873332.638,22,2845246.845,19,2823047.448,29,2517485.395,23,2468374.952,33,2440139.249,31,2683832.383,32,2849205.404,31,2831489.453,21
2006,2692525.988,10,2797728.603,11,2872852.73,20,2813908.528,11,2719595.56,10,2707064.152,12,2412325.829,12,2402975.666,21,2444948.154,32,2608297.757,21,2693487.014,11,2786757.633,14
2007,2828501.946,16,2850547.842,18,2852357.135,12,2860682.109,16,2859459.339,24,2673482.981,10,2424846.819,13,2082294.661,9,1903427.744,9,2264130.724,9,2726184.443,14,2726818.042,11
2008,3091445.714,36,3137455.827,43,3154333.931,40,3145255.139,37,3087527.449,36,2954691.057,34,2676631.077,41,2405115.469,22,2385155.668,26,2833268.744,45,3051908.969,42,3100622.909,41
