,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,3224681.689,45.5,3224681.689,40.5
1979,3224681.689,41,3224681.689,41,3224681.689,38,3224681.689,35.5,3224681.689,39,3223105.355,23,3212209.944,23,3184429.112,27,3033578.553,11,3167525.409,22,3208677.511,19,3224681.689,40.5
1980,3224681.689,41,3224681.689,41,3224681.689,38,3224681.689,35.5,3224594.025,27,3223813.288,26,3219850.138,27,3219739.202,42,3216200.972,42,3223575.663,42,3224681.689,45.5,3224681.689,40.5
1981,3224681.689,41,3224681.689,41,3224681.689,38,3224681.689,35.5,3224681.689,39,3224638.358,38,3223682.393,39,3222256.755,44,3209822.723,40,3224070.1,43,3224419.441,35,3224681.689,40.5
1982,3224681.689,41,3224681.689,41,3224681.689,38,3224681.689,35.5,3224681.689,39,3224377.494,33,3223135.643,33,3221831.185,43,3223546.181,46,3224271.942,44,3224637.938,40,3224550.505,34
1983,3224599.694,32,3224681.689,41,3223676.159,17,3224681.689,35.5,3224681.689,39,3224594.189,37,3223546.172,36,3203693.42,34,3170436.788,30,3196697.726,29,3224637.91,39,3224681.689,40.5
1984,3224637.95,34,3224244.671,26,3224681.689,38,3224681.689,35.5,3223861.622,19,3220880.257,20,3183801.649,14,3102940.112,12,3069717.012,16,3106509.483,13,3168771.985,10,3167369.715,4
1985,3192165.398,8,3214969.01,17,3212533.121,7,3224681.689,35.5,3223981.125,21,3219561.959,16,3208983.326,20,3105747.782,13,3081288.107,19,3186692.403,26,3223544.746,31,3224681.689,40.5
1986,3224681.689,41,3224635.01,33,3224681.689,38,3224681.689,35.5,3224681.689,39,3224681.689,42.5,3221108.33,29,3200120.221,32,3193759.28,37,3218822.827,37,3224332.045,33,3223738.015,31
