,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,601237.016,32,747027.155,16
1979,754104.209,3,781320.361,10,783263.263,6,787591.08,7,747364.922,18,658671.897,33,464778.473,40,287927.314,34,236314.344,30,309330.06,26,561538.838,29,781541.685,35
1980,793526.278,23,778862.626,8,780134.553,5,803139.17,23,796025.271,44,666069.532,37,439499.845,35,354769.566,42,381026.319,44,470252.037,40,615222.617,36,775716.628,29
1981,791925.58,19,791891.445,14,793619.255,13,794775.128,12,768046.509,27,608187.541,24,431063.545,33,296763.132,35,334042.968,39,459046.029,37,684889.61,42,788922.981,38
1982,791229.074,16,756774.31,4,778063.746,4,791850.031,10,795162.981,43,660514.248,36,454382.999,38,311878.293,38,293790.066,36,462722.76,38,671134.603,41,768594.157,28
1983,794077.984,24,794850.087,16,799894.925,20,804297.192,25,785439.137,37,758684.735,45,602513.269,46,432458.087,46,469602.324,46,569927.935,45,743861.732,47,721324.109,13
1984,747220.491,1,760232.734,5,777401.561,3,796160.834,15,789851.359,41,680491.601,39,458509.934,39,325395.677,39,270502.185,35,372676.584,33,578860.682,31,778720.993,30
1985,790055.53,14,791005.084,13,803962.763,22,813762.302,39,808782.51,46,762246.315,46,538454.704,44,397277.833,45,380340.981,43,532734.412,44,701972.43,44,760077.724,24
1986,786220.778,10,803618.851,24,798081.62,17,799810.388,18,753049.168,20,573061.082,15,396273.875,26,279682.12,32,241408.085,31,464342.894,39,557725.69,28,762962.522,27
1987,794103.964,25,801511.277,22,804122.363,24,810569.94,34,789563.166,40,695145.907,42,479458.007,42,303686.855,37,379682.906,42,433896.973,36,651170.501,39,,
1988,,,801149.95,21,819997.279,45,812125.272,37,772114.207,30,743776.648,44,532797.559,43,362178.45,43,406961.543,45,527792.231,43,699790.677,43,817970.131,45
1989,813557.469,40,753943.029,3,753038.319,2,759533.847,2,773037.025,32,640771.468,28,437022.957,34,270973.186,31,257462.004,33,370207.487,32,616813.264,37,781614.416,36
1990,814745.016,42,810589.662,32,812292.105,38,801062.148,20,761673.49,24,630487.565,27,391855.215,25,270872.26,30,249362.337,32,325577.915,28,564340.239,30,795175.628,40
1991,803081.821,29,802832.911,23,809977.392,34,813803.652,40,762021.886,25,650376.802,29,470786.075,41,365300.899,44,320608.729,38,347143.385,29,479426.626,21,750987.264,18
1992,803325.002,30,811864.343,34,821883.778,46,812328.071,38,787216.08,38,667584.585,38,449739.831,37,301666.611,36,378196.647,41,472592.273,41,611717.073,34,800270.03,41
1993,808346.32,34,807796.643,31,810691.069,35,816574.551,42,758942.139,23,591327.409,20,319430.115,14,152677.344,20,144162.327,23,350421.991,30,522194.088,25,785127.922,37
1994,781864.775,8,750383.159,1,789946.615,9,810053.095,32,777427.677,34,705108.459,43,543389.648,45,330119.579,41,370507.998,40,584708.235,46,740833.768,46,817840.843,44
1995,810506.616,36,814790.761,38,811139.093,36,809733.817,29,736323.711,14,658698.552,34,422095.782,32,325462.158,40,305452.403,37,353763.587,31,441612.567,16,729347.441,14
1996,792102.173,21,795234.748,17,795781.372,16,801205.428,21,720644.151,9,557690.105,12,383373.662,24,245249.218,27,260877.193,34,402483.664,34,437208.678,14,749073.124,17
1997,797549.128,27,811500.715,33,809103.506,32,803722.628,24,729961.02,10,561303.173,14,355203.29,19,254187.284,28,216378.723,28,233899.921,19,350975.283,7,755683.158,21
1998,806847.224,33,815571.024,40,808822.635,31,809780.65,30,794149.775,42,695142.827,41,399390.651,28,182660.507,24,77530.224,17,182658.147,14,450963.131,17,780950.607,33
1999,809407.512,35,817721.283,45,818140.367,44,820805.085,45,789214.817,39,694662.767,40,415414.054,30,177477.215,23,120016.728,21,302403.861,25,658710.86,40,801299.835,42
2000,816137.672,43,813136.285,35,803998.521,23,814052.602,41,804078.003,45,652076.992,30,446962.944,36,280585.278,33,188250.747,27,424363.879,35,636771.494,38,760634.864,26
2001,800792.008,28,801076.745,20,806703.667,27,809548.342,28,780787.554,36,611065.913,25,400168.776,29,261126.894,29,225634.123,29,487067.952,42,728871.092,45,807103.916,43
2002,812707.418,38,807344.736,30,789460.674,8,780433.879,4,719172.851,8,550551.734,9,359524.385,20,150292.098,19,74156.531,15,253939.38,22,524152.128,26,736613.467,15
2003,788926.026,12,803840.894,25,815041.15,40,795873.946,14,700484.628,5,537928.327,7,286703.366,9,128793.884,16,85238.519,19,232425.693,18,429446.698,13,756351.818,22
2004,750035.127,2,785944.012,11,793574.373,12,800095.984,19,738906.641,16,574320.386,16,352301.272,18,122391.888,15,100134.318,20,195659.049,16,475784.233,20,758542.133,23
2005,791836.744,17,815200.586,39,805453.226,25,810692.213,35,736984.629,15,582106.454,17,375823.995,23,170246.335,22,154369.013,26,217420.505,17,488745.995,22,794436.607,39
2006,822617.608,45,807205.723,29,807787.088,28,823200.659,46,779411.002,35,653162.127,31,415881.821,31,245036.011,26,152231.95,25,251033.822,21,394914.258,9,665931.064,7
2007,814285.308,41,774955.956,7,794973.177,15,784750.447,5,755801.535,22,496692.754,4,234641.66,4,51277.945,5,3190.427,3,51675.588,2,305468.602,3,587743.479,4
2008,806350.382,31,813402.484,36,817409.331,43,799659.387,17,740488.272,17,615977.058,26,281784.664,8,63136.924,8,3878.313,4,159310.486,12,537884.427,27,754745.248,20
2009,812942.269,39,817505.712,44,807881.244,29,811443.337,36,748447.185,19,554736.931,11,301103.341,12,56440.647,7,30203.487,13,124922.651,9,465274.992,19,760268.278,25
2010,789354.674,13,804569.506,26,806642.551,26,817251.933,43,765707.309,26,598332.765,21,343648.133,17,106836.538,14,11921.525,6,183192.793,15,459683.615,18,711108.29,12
2011,792041.164,20,792240.736,15,808385.202,30,802456.112,22,734569.9,13,538930.823,8,267930.833,5,50960.103,4,18691.921,9,123168.517,8,412878.208,12,780332.84,31
2012,822176.277,44,818253.838,46,817227.538,42,817370.327,44,769893.478,28,582298.754,18,335148.698,16,42360.866,2,1161.856,1,133652.831,10,609461.074,33,780569.038,32
