,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,727249.346,34,822868.94,19
1979,830230.495,4,830271.256,26,830271.256,28.5,830271.256,26.5,825467.952,30,738797.191,25,629104.966,38,401055.902,28,308077.965,28,416610.941,27,694668.139,30,830271.256,36
1980,830271.256,29.5,830271.256,26,830271.256,28.5,830271.256,26.5,829980.265,45,795494.568,41,604489.142,34,472488.957,35,506905.568,43,596969.769,42,752332.875,39,829783.687,25
1981,830271.256,29.5,830271.256,26,830271.256,8.5,830271.256,26.5,826790.271,32,723076.839,23,634787.091,40,542583.116,44,489316.617,40,570384.564,39,794989.461,43,830271.256,41
1982,830271.256,11.5,830271.256,26,830271.256,28.5,830271.256,26.5,829161.551,39,751329.451,30,594917.674,31,494383.318,37,421360.254,37,551532.778,37,773794.262,41,830027.158,26
1983,830271.256,29.5,830271.256,26,830271.256,8.5,830271.256,26.5,829261.579,41,814716.531,45,716789.992,46,568335.458,45,600991.063,46,690568.452,46,824027.198,47,827746.632,22
1984,830271.256,11.5,830271.256,5,830271.256,8.5,830271.256,26.5,828674.262,37,771953.406,36,639787.885,41,496704.389,38,404113.332,35,483515.817,33,696746.215,31,830155.416,29
1985,830271.256,11.5,830271.256,26,830271.256,28.5,830271.256,26.5,830271.256,46,821347.3,46,687460.094,43,524282.665,42,490673.708,41,628596.319,43,805543.205,44,827821.234,23
1986,830271.256,29.5,830271.256,26,830271.256,8.5,830271.256,26.5,815943.015,19,677344.349,14,531333.501,19,397858.932,27,361453.771,31,572086.824,40,675316.016,29,830233.201,34
1987,830271.256,11.5,830271.256,26,830271.256,28.5,830271.256,26.5,829866.208,44,777311.029,38,648170.636,42,442490.921,32,468233.042,39,521003.94,35,736059.514,38,,
