,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,1200170.895,18,1244925.343,7
1979,1256115.917,2,1256438.68,2,1263304.054,2,1283162.988,25,1272612.04,34,1227796.039,44,1100791.661,44,949018.34,44,963262.487,46,1106906.003,39,1229446.387,26,1259160.515,12
1980,1258589.634,3,1273467.952,8,1272665.615,6,1289507.296,37,1275346.963,37,1152473.721,30,1003886.603,39,867310.433,40,821695.586,39,1093334.245,37,1236613.21,28,1255093.642,9
1981,1274221.348,13,1265300.206,7,1274574.805,8,1278312.861,14,1246114.147,20,1102682.46,12,899376.392,31,685377.207,31,717902.062,35,1088062.653,36,1261016.742,39,1275665.149,29
1982,1270622.416,10,1275497.832,11,1283447.523,25,1285801.525,29,1289748.079,44,1229231.729,46,1101432.675,45,887600.292,42,744935.286,37,1078227.423,34,1246777.982,35,1263864.123,17
1983,1265581.963,6,1264403.673,6,1277138.659,14,1284541.738,27,1273015.625,36,1228862.66,45,1080670.181,43,883619.331,41,873091.994,41,1218309.576,46,1279635.867,46,1260129.685,13
1984,1262993.417,4,1263176.471,5,1285407.74,26,1280595.82,19,1277389.802,40,1208296.327,40,1051534.788,41,971124.822,45,875002.603,42,1123278.113,40,1215846.2,21,1262079.211,16
1985,1277325.536,16,1273788.739,9,1275508.842,12,1287652.871,31,1291008.569,46,1203737.788,39,1000630.477,38,901237.312,43,919522.583,44,1206565.857,45,1235016.333,27,1177198.948,2
1986,1228955.003,1,1250585.064,1,1246879.814,1,1250333.443,2,1262431.456,27,1100892.22,11,871039.607,29,716288.197,35,823310.542,40,1196066.799,44,1237986.461,30,1270313.893,23
1987,1280966.399,21,1286058.39,29,1285524.048,28,1288823.61,34,1290268.759,45,1222245.197,43,999306.438,37,711477.869,34,904358.09,43,1175474.485,43,1288097.329,47,,
1988,,,1292030.066,41,1296559.277,46,1292309.909,43,1264544.447,28,1217329.222,41,1007983.352,40,814824.682,39,761305.584,38,1071257.376,33,1266187.866,41,1284619.373,36
1989,1272721.779,12,1262771.282,4,1267728.314,3,1265087.501,6,1276299.331,39,1115141.653,17,830530.528,21,554509.243,28,437958.68,25,928910.115,26,1247808.69,36,1281765.195,34
1990,1287191.853,32,1276268.925,14,1275451.157,11,1233352.693,1,1071322.22,1,880610.918,1,584560.81,6,317258.519,12,323984.975,21,817064.585,22,1245367.907,34,1294807.168,43
1991,1287607.784,33,1281977.399,20,1282937.019,24,1273068.84,10,1217846.102,8,1121638.831,20,856327.743,27,526800.091,27,447462.363,26,878506.557,24,1174692.954,8,1261753.601,15
1992,1288934.542,35,1294660.016,43,1294791.965,45,1289504.592,36,1252749.106,24,1105674.486,15,730139.811,13,501087.608,24,564032.538,29,1066053.878,32,1254824.109,37,1274592.093,28
1993,1276713.291,15,1283610.314,23,1269865.096,4,1283689.985,26,1244413.099,19,1125466.528,23,678040.107,11,374337.759,17,356713.608,22,1027066.107,30,1264743.448,40,1295951.512,45
1994,1276139.156,14,1284334.485,26,1282488.939,23,1291646.56,41,1284591.388,43,1169759.529,33,1062701.901,42,796789.507,38,735272.093,36,1105572.01,38,1266299.849,42,1289867.086,41
1995,1288151.893,34,1283973.448,25,1287652.253,33,1290544.028,39,1268032.219,30,1220692.832,42,939422.564,34,641149.181,29,474264.38,27,834292.986,23,1179656.765,11,1241861.876,6
1996,1272558.082,11,1261442.643,3,1270358.587,5,1278746.802,16,1232928.448,12,1186582.033,38,1110071.814,46,1008487.681,46,945892.52,45,1125386.542,41,1214221.839,20,1240603.074,5
1997,1269218.746,9,1277562.061,16,1281268.605,22,1272322.673,9,1272317.204,33,1149453.582,29,952082.962,35,716532.191,36,709898.034,33,1022970.769,29,1208638.083,19,1286364.215,37
1998,1286924.095,31,1288250.879,32,1289598.462,37,1293508.232,45,1275926.077,38,1170736.075,34,995745.498,36,764589.242,37,692126.258,32,1081647.13,35,1237885.502,29,1278107.524,30
1999,1284978.131,28,1291116.329,37,1290707.735,40,1292240.349,42,1283250.521,42,1140793.274,27,919851.312,33,668351.181,30,637851.268,31,1018691.909,28,1267325.617,43,1294983.046,44
2000,1294430.119,45,1296217.784,46,1292321.151,42,1287467.61,30,1269896.566,32,1130664.892,25,844771.573,25,710417.831,33,611436.551,30,1048170.392,31,1268905.775,45,1287029.495,38
2001,1290461.482,36,1282839.038,21,1277311.509,16,1279271.602,17,1256586.759,26,1177139.302,35,893918.034,30,691701.222,32,715285.93,34,1128996.481,42,1268441.96,44,1287850.87,39
2002,1291971.854,42,1291831.919,40,1287443.356,32,1281555.479,22,1214748.53,6,1083782.714,8,803402.403,17,473015.902,22,433834.375,24,771629.079,20,1242103.816,32,1274175.013,27
2003,1284912.634,27,1281138.894,18,1288775.069,35,1281501.931,21,1233584.243,13,1124183.686,22,758118.51,15,360777.134,15,244281.169,15,687297.521,17,1217056.605,22,1270654.593,24
2004,1267563.035,8,1275752.81,12,1280389.074,20,1288755.632,33,1279334.906,41,1168734.979,32,913746.123,32,505516.301,25,409327.052,23,881520.142,25,1221994.332,24,1281554.103,33
2005,1292485.696,43,1295922.694,45,1286933.845,31,1278233.363,13,1231268.893,10,1118437.751,19,776930.904,16,337846.656,13,275749.659,19,464085.115,6,1190585.41,15,1279388.167,32
2006,1291165.344,38,1276408.144,15,1275081.517,9,1293039.11,44,1232149.861,11,1048411.126,6,814589.909,20,496525.821,23,311760.074,20,717802.701,19,1179841.961,12,1265057.138,18
2007,1294395.882,44,1285068.351,27,1278901.663,17,1280373.371,18,1246514.104,21,985429.687,4,501696.495,2,35938.779,1,1992.336,1,107252.645,2,1010381.175,1,1132654.465,1
2008,1283612.915,23,1285448.947,28,1278986.55,19,1278391.549,15,1249151.562,23,1165202.8,31,839805.597,24,316489.394,11,75741.143,6,650275.464,16,1241213.526,31,1269967.339,22
2009,1283956.353,26,1295016.042,44,1288489.063,34,1267613.476,8,1243541.268,18,1141958.568,28,807423.002,18,364252.778,16,265810.727,18,692305.444,18,1175970.138,9,1258566.249,11
