,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,1297663.116,17,1303711.475,30
1979,1303711.475,25,1303711.475,24.5,1303711.475,26,1303711.475,24.5,1303067.999,10,1301380.461,26,1298781.016,45,1229206.807,46,1198049.707,46,1267656.479,38,1303542.942,33,1303669.483,10
1980,1303711.475,25,1303711.475,24.5,1303711.475,26,1303711.475,24.5,1303668.51,17,1294736.34,15,1279619.033,37,1149508.502,38,1090414.684,42,1269087.631,39,1303711.475,42.5,1303711.475,30
1981,1303711.475,25,1303711.475,24.5,1303711.475,26,1303711.475,24.5,1302311.711,7,1299110.162,19,1239639.759,29,1009481.226,31,930389.602,32,1224919.672,32,1303130.099,30,1303711.475,30
1982,1303711.475,25,1303711.475,24.5,1303711.475,26,1303668.458,1,1303368.955,12,1293063.199,12,1293233.588,40,1197767.79,44,1030132.905,36,1241420.023,34,1302257.7,28,1303711.475,30
1983,1303711.475,25,1303711.475,24.5,1303711.475,26,1303711.475,24.5,1302584.622,8,1301507.212,27,1289228.261,39,1170682.158,40,1077926.761,39,1301064.553,46,1303711.475,42.5,1303711.475,30
1984,1303711.475,25,1303711.475,24.5,1303711.475,26,1303711.475,24.5,1303711.475,33,1301221.739,25,1295881.094,43,1193336.046,43,1078289.272,40,1263375.271,37,1299003.459,20,1303711.475,30
1985,1303711.475,25,1303711.475,24.5,1303711.475,26,1303711.475,24.5,1303711.475,33,1301628.569,28,1277328.727,35,1183087.522,41,1136506.84,43,1295486.793,44,1303668.964,36,1303669.397,9
1986,1303711.475,25,1303711.475,24.5,1303711.475,26,1303711.475,24.5,1303268.604,11,1280144.183,7,1232062.517,28,1094495.823,35,1140265.588,45,1298798.14,45,1303711.475,42.5,1303711.475,30
