,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,477665.435,37,650831.11,41
1979,805892.835,44,818036.021,46,704945.359,41,670846.346,40,601457.343,40,489327.707,37,293136.252,32,162114.619,24,145943.427,20,261145.07,14,367278.791,11,463077.242,20
1980,564740.187,31,672255.101,37,664350.108,37,622450.045,31,531532.971,21,456185.756,31,328566.567,38,225012.513,40,233353.183,37,360281.295,36,518969.002,44,650434.675,40
1981,717769.921,41,699090.437,39,693543.236,38,645522.625,36,624683.899,43,561196.139,45,407287.307,46,250501.865,43,198575.358,32,395988.104,43,488441.766,40,673897.167,43
1982,804087.941,43,774075.312,45,696066.952,39,684269.14,43,594303.917,37,521898.603,44,368258.948,44,217852.388,39,282838.955,45,353586.204,34,440064.27,32,556565.524,35
1983,559247.349,29,641860.798,35,641397.071,33,595592.782,26,541772.015,26,435890.491,21,263749.493,24,198729.043,37,236127.99,38,364081.9,37,478675.978,38,556750.242,36
1984,511279.488,20,501103.113,9,573310.459,18,521096.572,10,510213.002,14,448887.263,25,264821.723,25,129376.14,15,134661.562,16,288865.41,20,406253.355,20,387672.409,3
1985,450270.806,7,548640.141,23,580263.71,20,671685.07,41,559840.398,27,464352.384,33,182441.375,6,71387.962,6,89275.208,11,301049.451,25,425518.233,29,595316.497,39
1986,704244.286,40,748774.619,42,764359.083,44,811586.052,46,647553.602,46,502330.78,41,294379.372,34,165397.895,27,165652.576,24,320079.172,26,412526.416,24,461533.797,19
1987,562697.777,30,722425.735,41,715008.98,42,628526.083,32,575894.418,33,454293.171,30,298930.467,35,227080.805,41,257277.631,43,410830.753,44,552750.275,46,,
1988,,,709290.059,40,800635.214,46,800409.934,45,588473.251,35,463662.468,32,301392.075,36,178592.237,30,201825.834,33,422454.213,45,585932.024,47,850765.028,45
1989,852778.607,45,758389.709,43,768110.662,45,672095.479,42,617927.553,41,573919.253,46,355457.435,42,252099.495,44,255613.299,42,382131.788,40,496166.286,42,689247.596,44
1990,577888.746,35,522758.99,17,600064.778,27,599800.89,27,541163.544,24,448844.452,24,272008.022,28,148245.422,20,77718.878,8,292218.215,22,438853.65,31,492789.259,26
1991,486298.756,14,564538.158,26,589032.805,25,594376.324,25,530691.722,20,432502.088,19,220320.813,13,100424.619,11,105437.59,13,298358.118,24,442863.874,33,514100.932,30
1992,591588.605,36,642514.893,36,653900.083,36,661411.051,38,594458.546,38,503669.262,42,377249.337,45,261633.418,45,258082.835,44,368358.974,38,454464.918,36,477798.959,24
1993,565036.634,32,613127.557,33,611639.012,29,574407.797,19,567810.848,31,508007.761,43,360458.077,43,227282.982,42,243710.196,39,382938.356,41,402269.374,19,470503.653,21
1994,495309.814,15,519858.432,15,565309.861,17,520881.14,9,509117.47,13,414894.363,16,268329.853,27,191776.337,33,243851.444,40,446921.479,46,552625.691,45,521902.601,33
1995,545297.521,26,601266.895,30,610671.071,28,633375.353,35,632481.355,45,488795.023,36,320222.119,37,278662.965,46,285422.929,46,357705.633,35,489040.58,41,556816.59,37
1996,573721.898,34,610320.594,32,613760.447,30,646821.267,37,624786.061,44,452734.823,29,248282.506,20,92519.389,9,103504.44,12,256951.637,11,400506.733,18,656074.407,42
1997,773314.922,42,760790.635,44,702446.986,40,632355.762,34,622215.083,42,498139.433,38,330842.683,39,192110.845,34,214143.136,35,332695.5,31,513426.358,43,588534.665,38
1998,694790.723,39,681981.949,38,618310.281,31,582649.263,21,538788.056,23,501704.092,40,331971.112,40,182996.431,31,182952.354,28,325709.105,29,379903.247,12,472004.82,23
1999,523867.084,23,507642.897,12,507691.854,4,535316.88,11,451475.696,5,351119.95,4,214969.05,11,189980.65,32,214018.18,34,333307.629,32,381385.097,14,471424.816,22
2000,465243.043,11,529432.148,19,523932.186,9,592344.992,24,561601.937,28,498818.822,39,293668.221,33,177698.089,28,171027.797,26,291987.081,21,393733.421,16,518544.957,32
2001,634569.994,38,616456.199,34,725609.892,43,712412.994,44,589588.221,36,444604.634,23,203429.895,10,97315.795,10,72729.256,5,225799.834,6,416485.233,27,446987.834,12
2002,556557.372,28,584100.329,28,645217.778,34,581311.143,20,541687.397,25,373097.082,7,140260.266,2,45269.535,1,70486.351,3,175122.25,2,337521.932,4,380611.234,2
2003,497858.617,16,458948.253,4,521742.746,7,495358.138,4,500544.928,12,394120.759,13,221544.558,14,73877.758,7,77325.348,7,264906.559,15,351002.787,7,504731.9,29
2004,553306.59,27,598487.352,29,582101.288,21,467120.416,2,434048.58,3,360722.666,5,188307.626,7,67693.082,4,77127.298,6,208268.082,4,355214.344,9,439783.631,11
2005,454463.425,9,513017.234,13,586155.822,24,542729.801,12,496050.278,11,434018.315,20,239168.302,17,178338.259,29,232468.296,36,383023.586,42,451433.455,35,450572.145,13
2006,442522.833,5,496299.209,8,555556.903,13,507232.226,6,442112.868,4,401929.578,15,244825.431,19,150246.924,22,186797.548,29,349286.843,33,416611.593,28,457086.958,16
2007,508064.41,18,534466.735,20,529682.739,11,568992.535,17,534797.267,22,438990.821,22,267463.067,26,208263.202,38,254229.465,41,371518.977,39,447606.815,34,514628.881,31
2008,566443.553,33,572823.85,27,574842.331,19,612607.37,28,571723.521,32,417326.274,18,259437.776,23,156314.017,23,116921.654,14,277592.316,17,407886.186,22,458582.175,18
2009,541538.418,24,551195.394,25,583139.272,22,585794.841,23,467091.39,7,365962.64,6,243947.77,18,195919.347,35,192315.102,30,323569.516,28,406870.609,21,416640.926,7
2010,514267.06,22,549451.81,24,593327.562,26,543377.302,13,467615.891,8,375003.076,8,237692.204,16,129219.485,14,163096.779,23,257960.179,12,414937.499,25,495898.219,27
2011,542299.833,25,501874.189,10,561779.678,15,555496.165,15,491121.064,10,467672.123,34,335607.159,41,197535.411,36,192846.124,31,294485.649,23,383610.56,15,458337.302,17
2012,456141.934,10,527821.018,18,522767.298,8,583702.517,22,576351.519,34,482724.198,35,274794.186,30,162637.343,25,172926.704,27,326161.565,30,408066.646,23,454280.472,15
