,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,646100.219,38,901175.556,40
1979,1076123.146,43,1099248.063,46,1036964.901,44,958927.937,42,823812.694,38,732932.104,34,525597.053,29,326246.338,28,274046.952,21,390471.715,14,517974.516,12,649059.169,23
1980,808295.026,32,952327.591,37,948085.65,38,880688.901,36,746582.112,25,665813.937,22,525743.756,30,395567.798,36,395677.655,38,515636.474,38,719283.417,45,920311.349,42
1981,1019178.887,41,954012.155,38,942886.555,37,904614.352,39,928662.56,46,868022.705,46,712216.474,46,521332.772,46,394359.013,37,577079.067,46,713551.545,44,968958.346,44
1982,1105396.62,44,1076458.06,45,1018395.266,43,1009477.805,44,860546.493,43,759931.404,40,659413.376,44,419844.75,38,437137.663,44,516959.221,40,637177.992,37,798920.928,37
1983,808830.324,33,965938.302,40,953258.656,39,839742.776,31,762641.522,27,686416.962,25,522538.867,28,390816.543,35,389657.772,36,499033.51,36,666804.663,40,775227.192,35
1984,697391.695,23,691007.711,12,790589.426,24,717948.311,12,732095.634,20,690305.531,27,539106.583,31,311362.417,24,287755.567,24,431073.718,24,563290.345,26,565246.279,6
1985,689548.657,20,805579.887,30,872985.673,33,977487.755,43,819949.489,34,695742.741,28,422493.782,13,182621.722,7,174756.773,9,420962.73,22,585572.939,32,844260.057,39
1986,985781.573,40,1026059.295,43,1010596.456,42,1060325.904,46,857763.61,42,720355.818,32,550128.46,35,314531.933,25,300850.445,26,456986.386,29,569588.953,27,661694.861,29
1987,835072.991,36,996458.836,41,980249.462,41,851108.339,33,821982.929,37,740030.72,35,542545.68,33,448224.244,42,421269.443,42,543454.236,43,729894.5,46,,
