,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,634272.328,46,1128558.051,45
1979,1165169.985,34,1186935.453,32,1150642.827,11,1109789.38,13,1052657.728,34,804544.662,33,223916.319,30,61549.41,42,18750.054,43,56847.28,43,331096.968,38,966186.267,31
1980,1131261.34,13,1175264.694,21,1176886.423,31,1136317.879,26,1026631.721,24,761595.132,28,199982.244,27,52176.54,36,9071.919,33,35281.299,39,300660.268,33,1033402.719,36
1981,1157060.468,27,1153151.603,6,1119122.201,3,1159852.828,38,1097920.821,45,829640.585,42,238289.016,34,29423.938,20,8776.855,31,20966.215,29,170844.515,17,771439.26,13
1982,1125019.065,11,1174420.226,20,1179977.776,35,1160227.846,39,1060427.948,38,824694.899,41,265879.681,38,42201.178,32,12446.09,38,46184.94,41,408231.014,43,1088302.531,42
1983,1173240.879,38,1186505.798,31,1167809.146,22,1157265.496,37,1110303.584,46,921153.131,45,407206.854,45,107433.793,46,47430.761,46,75542.309,44,323226.559,36,1035767.88,37
1984,1168340.199,35,1187555.487,34,1180204.385,36,1140473.377,28,1049620.616,32,808843.686,37,275256.002,40,53420.344,37,11036.127,36,31662.528,35,405910.961,42,1037498.675,38
1985,1173481.126,39,1191377.007,40,1189722.88,42,1163835.275,42,1092065.217,44,834215.993,43,282530.708,41,46634.704,35,9157.259,35,25588.384,34,370876.278,40,1011474.655,34
1986,1163277.16,33,1174368.996,19,1171000.577,24,1131705.951,23,1040140.512,27,795457.537,32,266546.379,39,55801.835,40,15584.148,41,93230.456,46,712881.854,47,1122131.684,44
1987,1162076.5,31,1194698.666,42,1190974.45,43,1134956.812,24,1062915.555,39,880557.56,44,304693.797,43,64759.342,43,18993.646,44,37510.624,40,324980.194,37,,
1988,,,1187610.27,35,1182594.391,37,1127975.991,22,1013543.779,19,779810.004,30,235065.275,33,44301.324,34,6466.99,16,17781.076,22,203424.991,25,944038.885,28
1989,1187460.784,42,1189733.402,39,1184732.013,39,1165429.437,43,1060116.334,37,806423.26,35,240191.777,35,53710.523,38,8401.504,29,48580.48,42,374221.214,41,1102778.818,43
1990,1192541.61,43,1187486.332,33,1071615.143,1,1067165.716,3,1050763.2,33,811454.553,39,321390.83,44,71020.443,44,22702.618,45,84723.981,45,321501.949,35,1016577.198,35
1991,1201490.039,45,1171766.13,17,1173114.285,26,1163697.214,41,1066533.885,40,768821.917,29,190764.209,26,54947.184,39,12927.61,39,35098.112,38,345909.408,39,1038486.329,39
1992,1132312.494,14,1184535.511,27,1197638.964,45,1182842.442,46,1086494.38,43,963605.834,46,511443.705,46,102245.972,45,13467.157,40,24153.706,33,430281.701,44,1081439.565,40
1993,1151383.596,25,1197534.589,44,1185763.201,40,1173117.042,45,1044870.497,30,739983.302,26,173025.035,22,57456.755,41,15943.079,42,22085.14,30,514701.097,45,1084470.004,41
1994,1193161.319,44,1195105.989,43,1192440.06,44,1163043.785,40,1071397.053,41,809660.223,38,258605.771,37,32141.722,25,9103.491,34,20726.364,27,154144.51,15,869123.792,20
1995,1146291.092,19,1184608.556,28,1167732.499,21,1135285.113,25,1016175.934,20,671007.608,21,174364.971,23,37263.536,27,7097.66,25,20335.738,26,240661.875,29,989015.959,32
1996,1156431.315,26,1172728.785,18,1172269.877,25,1141401.062,29,1048670.309,31,812640.398,40,251532.195,36,41284.163,30,7667.715,27,22320.284,31,172186.645,18,823863.409,17
1997,1141126.467,17,1182327.972,25,1176363.675,30,1153335.958,35,1071552.605,42,708718.813,25,183418.264,24,24677.877,16,6931.057,21,32186.62,37,258501.628,32,900544.216,22
1998,1169524.807,36,1164450.459,12,1152743.478,14,1083249.53,7,926217.182,6,482714.294,7,99173.185,6,30661.915,21,6720.806,20,12153.793,12,79575.157,7,554400.506,3
1999,1122632.369,10,1163134.211,11,1148775.188,10,1084452.876,10,884068.831,1,446884.514,1,115107.179,12,40469.961,29,8925.991,32,22621.729,32,182862.422,20,665735.238,6
2000,1146423.296,20,1156154.775,8,1100438.631,2,1094615.694,11,1019804.655,22,693095.8,24,232445.115,32,33409.929,26,6977.042,22,16240.002,21,205854.21,26,904479.346,24
2001,1161434.675,30,1184170.566,26,1169144.748,23,1127913.504,21,892392.264,2,470809.979,5,103948.084,7,37325.337,28,7040.907,24,13078.836,16,168692.321,16,708608.767,9
2002,1110278.559,6,1178789.682,22,1178694.086,33,1120552.484,18,1056388.805,36,782386.314,31,186578.974,25,26613.963,18,6529.897,17,7771.999,2,188379.601,22,938398.227,26
2003,1108676.392,4,1188329.33,37,1179120.343,34,1138169.38,27,956630.235,11,651225.865,17,139796.538,18,22628.95,10,7598.546,26,10874.633,10,88709.259,9,705539.74,8
2004,1149151.913,23,1170764.658,14,1158838.775,18,1076750.506,6,1017939.829,21,808687.48,36,292905.795,42,44286.915,33,8638.88,30,18359.878,23,242351.666,30,1004089.716,33
2005,1174668.376,40,1151884.18,5,1148341.778,9,1025064.106,2,968400.421,13,573398.669,11,96267.382,5,13365.986,3,5057.79,1,8524.966,4,132215.918,11,815809.076,15
2006,1142129.076,18,1167191.821,13,1140176.374,6,1083780.334,9,922062.051,5,450071.926,2,63584.19,1,13134.413,2,5309.766,2,9651.25,6,49983.12,3,698208.14,7
2007,1114795.188,8,1155902.92,7,1151014.34,12,1072961.253,5,953137.688,10,617463.007,14,109784.019,11,27674.292,19,5738.373,10,12578.368,13,190484.163,23,958780.878,29
2008,1159069.64,28,1171525.848,16,1183146.344,38,1143683.33,31,1029468.725,25,636772.031,16,170653.775,21,31807.862,24,5471.541,5,14837.897,19,181553.854,19,902941.651,23
2009,1140975.532,16,1185015.481,29,1178459.6,32,1144589.756,32,1042581.927,29,805152.846,34,220882.158,29,24253.95,14,5852.852,12,19507.023,25,148982.546,13,710234.031,10
2010,1112670.651,7,1157906.679,9,1123102.266,4,1023521.853,1,908846.263,4,472972.115,6,78184.535,2,15114.198,6,5708.572,8,9914.994,7,26587.565,1,458882.575,1
