,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,841156.405,46,1231642.667,44.5
1979,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1225823.169,32,1158020.549,43,471781.906,32,164759.16,43,57580.66,44,134524.029,43,504707.851,36,1169741.93,30
1980,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231605.014,21,1223841.419,29,1091934.146,30,435000.874,28,151230.53,39,27085.877,32,91692.748,40,506012.392,37,1205061.97,39
1981,1231642.667,34,1231642.667,28.5,1231526.619,6,1231642.667,36.5,1227864.244,37,1131656.654,40,536757.591,35,95032.308,23,27650.551,35,60119.405,30,323947.328,22,1022655.939,14
1982,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231602.012,19,1229563.756,39,1149426.73,42,551266.921,37,120937.788,31,37024.288,38,114280.608,42,630696.961,42,1219757.642,41
1983,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1231606.638,46,1192821.092,45,778952.164,45,248760.547,45,127403.848,46,166821.362,44,493207.654,35,1184267.617,34
1984,1231642.667,34,1231642.667,28.5,1231642.667,31.5,1231605.728,22,1219049.669,26,1114147.77,35,574644.237,40,159102.07,41,32605.196,37,88396.422,39,639059.603,43,1190992.779,35
1985,1231604.403,17,1231642.667,28.5,1231642.667,31.5,1231642.667,36.5,1229782.887,41,1110523.429,34,578116.217,42,137255.972,35,27595.681,34,73037.892,35,586503.967,41,1175145.673,33
1986,1231642.667,34,1231556.361,3,1231642.667,31.5,1231525.833,15,1227861.165,36,1126119.954,38,552016.316,38,144785.293,37,46035.582,41,182344.736,46,950227.176,47,1231642.667,44.5
