,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,901802.743,42,917914.503,39
1979,917992.88,38.5,917992.88,40,917992.88,39.5,917992.88,36.5,917992.88,44,910710.564,39,803830.133,42,377390.455,31,150492.843,24,614817.816,35,912755.011,45,917992.88,43.5
1980,917992.88,38.5,917947.848,31.5,917992.88,39.5,917992.88,36.5,916691.182,27,912964.456,42,851205.417,43,598385.392,46,494679.688,46,621371.472,36,885304.089,39,917992.88,43.5
1981,917795.986,26,917992.88,40,917992.88,39.5,917992.88,36.5,917992.88,44,916392.778,45,887578.335,45,582865.73,45,474967.039,45,646879.703,39,818661.808,25,910783.422,30
1982,917992.88,38.5,917992.88,40,917992.88,39.5,917908.284,20,917741.509,32,906964.726,37,782240.64,38,452494.68,35,305239.57,36,693289.267,43,916075.148,46,917951.309,40
1983,917992.88,38.5,917992.88,40,917992.88,39.5,917992.88,36.5,917092.87,29,915151.315,43,786679.315,39,462686.026,36,231549.049,33,506958.646,29,833984.307,29,917913.445,38
1984,916394.085,19,911579.742,13,915849.555,14,917992.88,36.5,917441.458,31,905526.545,34,642930.367,27,322527.854,28,142595.181,22,460112.982,26,880241.207,38,916215.498,33
1985,917950.85,29,917947.811,30,917518.275,24,917992.88,36.5,917908.236,35,867421.313,25,689110.289,30,235598.106,23,90788.651,17,237161.514,12,795069.874,21,917992.88,43.5
1986,917992.88,38.5,917947.848,31.5,916392.451,16,917405.582,14,917951.857,39,915971.322,44,802519.778,41,497684.866,40,413767.822,41,631785.242,37,828290.922,27,910698.1,29
1987,917992.88,38.5,917992.88,40,917992.88,39.5,917992.88,36.5,917992.88,44,911617.397,40,851769.527,44,387479.283,32,198882.888,29,563850.62,33,845670.127,32,,
