,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,821721.992,13,846715.772,20
1979,844303.043,9,839378.345,10,845855.56,17,855597.974,39,853620.646,43,737941.651,36,627105.371,41,481667.002,44,514015.126,45,792663.714,45,838518.575,34,850896.085,33
1980,846694.655,15,845368.542,17,852380.28,33,851644.137,35,812709.429,20,712647.277,32,536058.235,30,347896.198,32,333908.401,35,695519.128,34,850202.856,46,841479.042,11
1981,829414.547,2,839357.245,9,845280.387,15,850938.468,34,824069.475,27,686132.873,25,501384.46,27,344949.955,31,356923.548,37,642446.296,31,824127.455,16,846884.75,25
1982,849387.117,19,847232.537,21,854323.302,36,856062.349,41,857451.972,46,787975.797,44,616054.475,38,394983.022,39,266804.527,30,631350.747,29,849211.943,45,845852.529,15
1983,838870.137,7,833894.661,4,844688.726,14,843658.486,19,828663.743,29,718715.876,35,554881.236,35,257229.306,26,255915.618,28,743530.293,41,846360.836,40,847507.733,26
1984,852961.5,31,836107.576,6,844589.512,13,850708.376,33,856721.73,45,792435.861,45,626539.876,40,484790.783,45,352658.788,36,748907.196,43,838134.41,33,848793.104,29
1985,845251.534,12,845284.339,16,843079.347,11,848224.941,27,851265.71,41,718183.026,34,537445.295,32,392789.234,38,278801.628,31,637645.862,30,837732.975,32,846742.008,21
1986,850229.635,22,841843.515,11,834402.228,4,844167.385,20,843675.091,40,744261.238,37,647188.539,44,468445.277,42,445646.77,44,742927.882,39,846402.728,41,856676.004,41
1987,841916.882,8,847131.168,20,841320.093,10,841825.261,18,851523.514,42,775920.69,41,628238.401,42,381118.555,36,417868.877,42,748638.863,42,854786.616,47,,
1988,,,848517.264,24,851411.969,30,850629.974,31,810396.852,19,668146.25,22,486096.187,25,324075.988,29,373680.121,39,716617.544,35,848474.324,44,832326.584,4
1989,844671.836,10,844070.605,14,838268.929,8,845796.82,23,832677.364,36,745454.99,38,622166.671,39,461112.695,41,322941.996,33,727106.888,36,831945.674,22,845920.06,16
1990,851098.594,24,838329.562,7,832666.44,3,826044.825,7,753125.758,5,609375.717,13,430091.722,21,217482.492,19,198718.172,22,590929.891,25,846761.236,42,857631.281,43
1991,857893.607,38,847863.555,22,848222.727,23,830200.976,9,798356.942,15,703895.42,31,419151.431,20,226802.193,20,169841.678,19,629680.066,28,836553.66,28,825341,2
1992,850752.542,23,859231.902,41,851460.116,31,848183.604,26,831451.815,32,747808.52,39,539403.488,33,352222.608,33,400650.989,40,786758.048,44,847468.481,43,848860.768,30
1993,846560.621,14,851694.677,32,836101.932,5,835743.059,12,793013.439,12,673413.857,24,566767.569,36,420175.438,40,372325.731,38,735027.062,38,837537.542,31,847546.296,27
1994,852025.093,28,851707.928,33,845563.723,16,850304.026,30,834541.483,38,712814.95,33,511869.081,28,341038.759,30,288850.126,32,552997.925,21,836723.013,29,848184.945,28
1995,861194.284,45,849105.75,25,853096.805,34,855925.394,40,816008.42,23,632434.173,16,372257.924,12,138800.349,11,57569.727,11,343621.004,10,826979.307,18,838440.716,7
1996,855399.991,35,853410.905,34,850270.433,27,846680.878,24,831476.267,33,822215.228,46,691111.853,46,557445.656,46,603724.589,46,793574.121,46,840169.714,37,858187.603,44
1997,849404.024,20,857955.621,39,850237.18,26,821337.073,5,814406.721,21,697842.935,29,499492.909,26,293639.486,28,248916.34,27,568399.147,23,840085.994,36,853177.925,36
1998,848692.098,17,849811.287,27,850209.344,25,860068.855,43,832417.701,34,701020.707,30,537329.518,31,388946.658,37,323632.456,34,742932.705,40,839791.261,35,846010.826,18
1999,852187.738,29,851486.452,31,856393.582,39,851971.827,37,830582.439,31,670061.829,23,432423.2,22,183817.176,15,144578.884,16,617546.183,27,846208.106,39,851219.8,34
2000,851999.741,27,844278.471,15,857611.593,43,836542.402,13,778971.514,10,605344.21,12,454630.298,23,238051.406,21,162593.293,18,612905.48,26,835919.444,27,850637.969,31
2001,851679.568,26,846220.231,19,847380.098,20,850633.082,32,842367.879,39,779247.167,42,583645.437,37,378867.85,35,434397.128,43,688378.874,33,818467.441,11,839500.652,8
2002,856777.388,37,855237.89,38,855958.215,37,851866.871,36,832716.813,37,687057.909,26,530368.602,29,239135.138,22,259032.777,29,661574.405,32,828690.413,19,846803.132,22
2003,855930.166,36,850476.52,28,839368.534,9,844392.432,21,794481.069,14,657361.969,19,405991.614,18,250442.464,24,234283.591,25,549643.771,20,844632.822,38,842246.241,13
2004,859896.15,42,859182.66,40,857233.402,42,862943.033,45,855582.144,44,780746.356,43,664984.434,45,480325.456,43,410657.105,41,731664.752,37,837340.858,30,841043.195,10
2005,847543.433,16,828018.353,1,846681.003,19,837205.212,14,793265.608,13,644164.142,18,392178.706,14,138006.822,10,54320.755,10,457193.006,16,831121.454,21,842177.041,12
2006,848889.07,18,842151.398,12,848099.261,22,865643.405,46,832501.318,35,664310.904,20,405196.934,17,176053.573,13,195988.58,21,517097.296,19,835150.512,26,852067.218,35
2007,853681.652,32,861646.4,44,846508.855,18,780438.952,1,722735.045,1,582443.154,10,340336.883,9,177669.876,14,125649.786,14,382245.435,11,834926.496,25,856293.428,38
2008,849419.969,21,862262.343,45,853475.382,35,853539.348,38,819975.408,25,749948.809,40,631975.234,43,357001.191,34,236301.217,26,573857.544,24,824102.4,15,850778.847,32
2009,835350.542,4,860081.692,42,862876.728,46,827423.643,8,829606.056,30,640815.499,17,351033.761,10,133827.573,8,104473.39,13,323061.082,8,815653.352,9,846069.523,19
2010,836236.947,5,853528.765,36,856702.078,40,848784.843,29,784131.976,11,614872.883,14,385490.32,13,209802.58,18,102574.824,12,423847.414,14,817954.274,10,845294.961,14
2011,846056.962,13,853499.989,35,831172.673,2,817885.676,4,773920.378,9,571625.241,7,230989.867,5,50836.452,4,18828.638,4,198442.257,3,805545.887,6,832718.72,5
2012,845043.117,11,838598.549,8,847903.017,21,839193.568,16,755837.465,6,580076.149,9,278758.992,8,94463.049,7,29913.972,6,315144.635,7,776504.02,4,840818.36,9
