,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,872108.443,5,872414.226,27
1979,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,871553.777,24,862093.141,34,840981.991,41,716961.244,45,708406.633,45,870059.668,44,872414.226,31.5,872414.226,27
1980,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,866333.752,15,840116.583,24,754719.265,28,492480.416,27,464042.484,33,793033.836,32,872414.226,31.5,872414.226,27
1981,872414.226,27,872414.226,25.5,872414.226,26.5,872371.177,4,870962.651,20,853461.324,28,729315.061,27,536730.12,32,489878.751,34,776393.476,30,872414.226,31.5,872414.226,27
1982,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,872156.088,28,859819.192,31,817799.975,37,617497.2,40,460670.636,31,760430.937,27,872414.226,31.5,872414.226,27
1983,872373.272,5,872414.226,25.5,872414.226,26.5,872414.226,26,870962.904,21,860771.355,32,811748.139,35,432444.168,25,377170.848,27,841062.231,36,872414.226,31.5,872414.226,27
1984,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,872414.226,42.5,868629.075,39,844072.547,42,693172.246,44,510351.456,37,869327.251,43,872414.226,31.5,872414.226,27
1985,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,872414.226,42.5,861688.543,33,796514.482,32,561468.041,33,409779.286,29,772735.012,29,872414.226,31.5,872414.226,27
1986,872414.226,27,872414.226,25.5,872414.226,26.5,872414.226,26,872294.117,31,862432.197,35,846226.086,44,602702.386,38,561096.404,41,848183.086,38,872371.559,10,872414.226,27
1987,872113.961,1,872414.226,25.5,872414.226,26.5,872414.226,26,872414.226,42.5,868223.305,38,845943.922,43,574885.571,36,552991.463,40,847414.253,37,872371.594,11,,
