,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,27700.302,34,289030.537,42
1979,1037424.29,45,1212562.402,46,1246355.579,46,900015.536,45,240031.063,42,41458.355,35,0,22.5,0,22.5,0,22.5,17456.019,44,49995.365,47,299371.08,43
1980,708931.808,44,1064525.759,44,1089581.002,44,949807.226,46,388597.449,46,77205,45,0,22.5,0,22.5,0,22.5,13696.931,18,35209.91,44,128947.824,19
1981,451434.493,26,871679.226,41,954430.735,41,591822.368,41,106307.634,16,28094.364,18,0,22.5,0,22.5,0,22.5,15196.495,32,28185.612,36,149204.265,27
1982,582423.962,36,864360.811,40,984709.714,42,779453.499,44,226657.802,41,40365.003,34,0,22.5,0,22.5,0,22.5,15296.823,33,36160.318,45,324834.351,45
1983,591694.547,38,1034571.672,43,987840.604,43,540701.219,38,141411.657,32,50504.727,40,0,22.5,0,22.5,0,22.5,19844.063,46,28937.96,38,128238.2,18
1984,381078.528,16,525908.019,6,611808.456,12,466866.825,27,114093.743,21,42296.876,36,0,22.5,0,22.5,0,22.5,14130.499,21,39976.759,46,261145.465,40
1985,658488.127,43,818961.276,36,913445.854,38,581791.173,40,301664.577,44,57737.291,42,0,22.5,0,22.5,0,22.5,15498.782,36,27880.593,35,160152.783,30
1986,545671.053,35,854743.265,38,876704.572,36,510822.065,34,114487.94,23,35345.522,29,0,22.5,0,22.5,0,22.5,15827.554,37,28488.449,37,147557.784,26
1987,598354.21,41,894545.026,42,728108.341,24,477292.607,28,128360.546,30,44048.094,39,0,22.5,0,22.5,0,22.5,11496.321,8,25362.983,29,,
1988,,,773728.36,33,891231.546,37,507122.879,32,152471.332,35,40170.667,33,0,22.5,0,22.5,0,22.5,10873.432,2,21787.156,20,75795.286,4
1989,357951.972,12,648031.117,18,673615.086,19,343145.977,11,107279.345,18,32162.032,24,0,22.5,0,22.5,0,22.5,12720.081,13,24545.166,28,141238.636,22
1990,430514.453,23,787073.837,35,796831.768,29,323263.518,9,71878.208,6,23781.123,10,0,22.5,0,22.5,0,22.5,16386.022,40,25931.439,32,109611.74,12
1991,266130.316,2,447707.827,2,622224.775,13,423975.116,22,92618.937,12,31275.19,20,0,22.5,0,22.5,0,22.5,13927.468,20,22447.474,22,110495.728,13
1992,434763.729,24,738105.241,27,712891.156,22,408082.588,20,115147.552,24,31593.27,22,0,22.5,0,22.5,0,22.5,13564.03,17,28981.331,39,214322.374,37
1993,529337.149,34,761730.647,31,804585.692,30,501198.91,31,106432.985,17,28696.127,19,0,22.5,0,22.5,0,22.5,14332.073,24,25882.341,31,239406.707,39
1994,597485.453,40,713018.063,25,607171.117,11,444476.086,25,198188.595,40,82090.777,46,0,22.5,0,22.5,0,22.5,14482.997,26,33472.191,41,216634.853,38
1995,591373.943,37,740047.481,28,720304.518,23,493189.662,30,151986.72,34,38527.268,31,0,22.5,0,22.5,0,22.5,11702.516,9,24032.79,27,66066.378,2
1996,254863.797,1,477897.921,4,640497.842,16,291992.064,5,67299.866,5,23743.618,9,0,22.5,0,22.5,0,22.5,15320.67,34,23318.469,24,143940.399,24
1997,349543.468,9,567544.031,12,589437.775,9,239437.196,2,56703.29,2,21586.464,4,0,22.5,0,22.5,0,22.5,15039.742,30,16923.663,2,141851.228,23
1998,480336.399,29,757813.139,30,831533.176,32,508876.321,33,171203.6,37,36483.412,30,0,22.5,0,22.5,0,22.5,10981.594,4,34271.911,43,320662.878,44
1999,492361.298,31,740702.455,29,835409.651,33,693161.365,42,244219.954,43,53171.449,41,0,22.5,0,22.5,0,22.5,13177.968,15,20504.298,10,106838.553,11
2000,342945.219,8,782232.086,34,918645.37,39,514063.251,36,97122.917,14,24688.147,11,0,22.5,0,22.5,0,22.5,12101.952,12,34155.769,42,281168.454,41
2001,630349.121,42,1111462.766,45,1106278.815,45,711677.757,43,329828.159,45,75682.164,44,0,22.5,0,22.5,0,22.5,11179.589,7,20327.113,8,174319.881,34
2002,490900.374,30,862877.181,39,931765.22,40,530953.925,37,128338.304,29,20019.315,1,0,22.5,0,22.5,0,22.5,11719.527,10,21746.88,18,156710.104,29
2003,594638.209,39,854534.641,37,856861.843,35,481908.008,29,95823.106,13,23489.241,6,0,22.5,0,22.5,0,22.5,10995.941,6,20647.561,14,172377.081,33
2004,492926.468,32,679610.358,20,667026.961,18,348660.371,13,89799.203,11,31978.526,23,0,22.5,0,22.5,0,22.5,10328.064,1,18939.458,5,170117.099,32
2005,429470.909,22,554384.685,9,576475.914,7,372939.005,18,139174.404,31,43703.547,38,0,22.5,0,22.5,0,22.5,11900.513,11,17348.68,4,71831.34,3
2006,289759.493,4,506800.478,5,526136.354,4,371351.467,17,111645.172,19,32295.091,25,0,22.5,0,22.5,0,22.5,10994.211,5,16956.131,3,154866.252,28
2007,463805.834,27,767689.281,32,635715.369,15,353701.737,14,111765.293,20,26588.321,14,0,22.5,0,22.5,0,22.5,10894.854,3,16868.61,1,102671.466,9
2008,390747.949,17,673561.624,19,593808.059,10,370975.547,16,123983.135,27,27713.273,17,0,22.5,0,22.5,0,22.5,14276.111,23,20742.027,15,84356.913,6
2009,283287.283,3,545901.174,8,576452.578,6,324620.911,10,148823.316,33,34910.754,28,0,22.5,0,22.5,0,22.5,14877.155,29,21758.898,19,126272.623,17
2010,352320.869,10,596075.4,13,744094.029,27,563988.983,39,181786.778,38,43167.942,37,0,22.5,0,22.5,0,22.5,12749.701,14,20054.19,7,82204.583,5
2011,292202.105,5,545866.344,7,635397.003,14,432633.579,24,117102.976,25,23555.938,7,0,22.5,0,22.5,0,22.5,15423.253,35,25365.571,30,184101.939,35
2012,425776.017,20,692107.654,23,845476.625,34,512866.288,35,158010.987,36,34694.53,27,0,22.5,0,22.5,0,22.5,18043.818,45,20561.402,12,87834.688,7
2013,426501.073,21,642536.342,17,706832.067,20,395780.77,19,184224.258,39,61158.687,43,0,22.5,0,22.5,0,22.5,13429.435,16,23725.302,26,51805.664,1
