,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,62808.274,16,508314.173,41
1979,1331383.907,45,1489588.82,46,1557040.313,46,1317552.289,46,455053.378,44,92719.939,36,0,22.5,0,22.5,0,22.5,39773.869,25,111626.766,47,521691.005,43
1980,1019653.214,44,1384674.018,44,1427652.921,44,1287388.747,45,626577.653,46,144663.793,45,0,22.5,0,22.5,0,22.5,31895.64,3,80676.968,36,269746.7,17
1981,754332.799,24,1213588.951,39,1308708.637,41,976907.321,41,235586.087,26,71065.616,11,0,22.5,0,22.5,0,22.5,37581.392,20,67168.833,28,303618.369,25
1982,913020.636,38,1204306.802,38,1296566.504,40,1062017.22,44,408076.67,42,83465.5,27,0,22.5,0,22.5,0,22.5,36261.485,14,85568.531,40,561451.698,44
1983,923788.669,39,1359225.032,43,1362583.311,43,877508.289,38,229534.919,25,96977.448,39,0,22.5,0,22.5,0,22.5,45867.647,37,65314.668,21,260848.965,14
1984,616110.372,8,821842.192,5,881523.623,6,728338.453,26,201196.453,13,91749.388,35,0,22.5,0,22.5,0,22.5,34093.157,8,89679.161,44,473872.001,40
1985,992464.945,42,1144843.514,33,1226691.511,36,791869.479,29,451311.639,43,122317.603,43,0,22.5,0,22.5,0,22.5,34681.134,10,64082.019,20,331526.354,29
1986,865254.215,35,1238428.547,41,1233599.669,37,807585.641,33,210035.64,17,76458.575,18,0,22.5,0,22.5,0,22.5,36526.874,16,65916.265,23,293800.464,21
1987,936449.115,40,1272915.621,42,1074878.08,22,796337.498,31,240859.811,28,96544.796,37,0,22.5,0,22.5,0,22.5,34919.868,13,69084.841,30,,
1988,,,1165733.98,35,1267527.299,38,794499.009,30,287526.644,36,91123.725,34,0,22.5,0,22.5,0,22.5,32793.05,4,66194.544,24,182088.483,4
