,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank,area,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,2754.204,6,14018.369,18
1979,64344.504,34,125023.549,28,102214.907,23,28868.236,23,16419.291,32,3431.235,45,0,22.5,0,23.5,0,23.5,0,23.5,2554.961,5,15441.414,31
1980,37772.231,19,114050.658,23,104213.546,25,28227.675,22,13387.721,16,2284.131,42,0,22.5,0,23.5,0,23.5,0,23.5,2342.721,2,20221.155,43
1981,85395.213,37,96601.002,17,27095.569,3,18632.236,4,14797.841,26,2034.743,38,0,22.5,0,23.5,0,23.5,0,23.5,2436.574,4,11977.659,1
1982,32551.795,15,113579.419,22,133926.986,31,36862.733,29,16853.986,33,2193.213,40,0,22.5,0,23.5,0,23.5,0,23.5,3018.179,8,14073.623,19
1983,49427.14,30,103093.935,19,88517.974,21,33321.584,27,14762.041,25,2206.478,41,0,22.5,0,23.5,0,23.5,0,23.5,2956.964,7,13771.849,14
1984,71689.216,35,137818.028,32,133960.997,32,42722.289,31,18217.214,39,1948.927,37,0,22.5,0,23.5,0,23.5,0,23.5,2345.027,3,13229.651,8
1985,90944.056,40,164579.533,39,157347.171,39,49373.554,36,23934.108,44,1620.221,29,0,22.5,0,23.5,0,23.5,0,23.5,3520.249,12,21979.576,44
1986,97389.338,42,176782.108,41,172654.009,45,50780.723,37,16205.718,31,1014.795,3,0,22.5,0,23.5,0,23.5,0,23.5,2314.996,1,17420.169,40
1987,86860.914,38,162700.066,38,136440.448,33,58170.53,39,13561.101,18,1679.586,31,0,22.5,0,23.5,0,23.5,0,23.5,4710.444,45,,
1988,,,162661.669,37,127588.801,29,43120.2,32,17645.929,36,1820.284,34,0,22.5,0,23.5,0,23.5,0,23.5,4973.197,46,17557.9,41
1989,91113.44,41,176252.744,40,150700.182,37,46352.074,33,18225.497,40,2105.628,39,0,22.5,0,23.5,0,23.5,0,23.5,5063.745,47,28930.656,45
1990,132913.213,45,191670.339,45,161021.578,41,62929.891,42,24986.561,45,1441.387,25,0,22.5,0,23.5,0,23.5,0,23.5,4636.371,44,16129.891,36
1991,108013.651,44,177825.7,42,137345.691,34,58484.978,40,16100.964,30,3076.215,43,0,22.5,0,23.5,0,23.5,0,23.5,4613.783,43,15288.513,29
1992,72737.032,36,179382.647,43,171878.329,44,81692.731,44,21823.209,43,1356.239,19,0,22.5,0,23.5,0,23.5,0,23.5,3973.119,30,14780.004,27
1993,89688.976,39,193976.438,46,186549.587,46,97938.742,46,17872.055,37,1115.304,7,0,22.5,0,23.5,0,23.5,0,23.5,4267.323,39,16686.778,37
1994,103315.246,43,189949.394,44,170449.524,43,85459.975,45,25109.606,46,1852.166,35,0,22.5,0,23.5,0,23.5,0,23.5,4070.344,36,13760.604,13
1995,47181.675,28,144436.548,34,155735.592,38,78297.023,43,17905.189,38,1873.577,36,0,22.5,0,23.5,0,23.5,0,23.5,4055.529,35,15733.917,33
1996,45858.974,26,119047.251,26,106826.403,26,28098.964,21,14671.344,24,1685.875,32,0,22.5,0,23.5,0,23.5,0,23.5,4155.158,38,17153.141,39
1997,34388.046,16,128651.865,30,146249.822,36,53297.291,38,19820.46,42,1304.96,16,0,22.5,0,23.5,0,23.5,0,23.5,3676.523,20,13866.608,16
1998,39325.32,21,100729.516,18,52988.709,13,23288.917,15,15271.716,28,1585.272,28,0,22.5,0,23.5,0,23.5,0,23.5,3603.103,16,12999.94,5
1999,46423.605,27,112002.291,21,75691.939,18,24554.838,16,15410.93,29,1493.259,26,0,22.5,0,23.5,0,23.5,0,23.5,3615.494,17,14251.788,22
2000,35196.091,17,91485.7,15,36627.145,6,19760.513,8,14997.835,27,1545.132,27,0,22.5,0,23.5,0,23.5,0,23.5,3773.512,24,15829.988,34
2001,24583.821,10,75390.608,12,78094.738,19,32093.228,25,13813.841,20,1652.278,30,0,22.5,0,23.5,0,23.5,0,23.5,3881.065,29,12216.268,2
2002,26563.132,13,125168.981,29,66434.846,15,18766.493,6,12736.465,14,1263.634,13,0,22.5,0,23.5,0,23.5,0,23.5,3857.641,27,12640.415,4
2003,43024.71,24,139712.797,33,160914.253,40,46503.355,34,19317.316,41,1387.629,21,0,22.5,0,23.5,0,23.5,0,23.5,3660.172,18,14639.178,26
2004,39080.874,20,83290.164,14,95974.202,22,33308.725,26,12586.87,13,1152.225,8,0,22.5,0,23.5,0,23.5,0,23.5,4048.217,34,15889.554,35
2005,48044.197,29,114299.617,25,103413.668,24,34106.427,28,12846.374,15,1226.355,11,0,22.5,0,23.5,0,23.5,0,23.5,4334.238,40,14999.863,28
2006,20767.05,8,50674.782,8,48683.449,10,23194.892,14,13918.919,22,1407.316,23,0,22.5,0,23.5,0,23.5,0,23.5,3503.129,11,12223.46,3
2007,25574.815,12,77244.602,13,73531.785,17,25457.548,19,13566.369,19,1225.459,10,0,22.5,0,23.5,0,23.5,0,23.5,3535.188,13,13097.934,7
2008,41360.914,22,114186.567,24,131723.241,30,38087.235,30,12339.558,12,1303.72,15,0,22.5,0,23.5,0,23.5,0,23.5,3550.815,14,13752.732,12
2009,60855.662,32,149868.99,35,125946.945,28,28064.256,20,11358.23,4,1001.624,2,0,22.5,0,23.5,0,23.5,0,23.5,3163.312,9,13523.483,11
2010,17951.655,3,32837.545,4,16717.627,1,16611.586,1,13420.11,17,1389.373,22,0,22.5,0,23.5,0,23.5,0,23.5,3391.179,10,16708.304,38
2011,17819.558,2,31713.079,3,33263.809,5,17298.348,3,11726.753,8,1280.757,14,0,22.5,0,23.5,0,23.5,0,23.5,3870.952,28,13316.65,9
2012,23170.563,9,67239.318,11,40780.779,9,20881.091,10,11495.396,5,1178.281,9,0,22.5,0,23.5,0,23.5,0,23.5,3591.379,15,14553.641,25
2013,25279.844,11,66139.728,10,38193.21,7,18656.899,5,12322.215,11,1240.983,12,0,22.5,0,23.5,0,23.5,0,23.5,3793.772,26,18357.943,42
2014,61940.352,33,156516.364,36,161472.294,42,60238.691,41,13870.598,21,1410.713,24,0,22.5,0,23.5,0,23.5,0,23.5,4017,33,13982.076,17
