,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank,extent,rank
,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,4997.086,7,30889.921,3
1979,129894.002,34,209284.568,23,198964.698,24,69567.644,19,39950.268,24,9299.037,43,0,22.5,0,23.5,0,23.5,0,23.5,4163.668,4,35715.843,12
1980,83523.083,17,209859.755,24,201507.825,25,68161.551,18,34907.684,11,6438.033,35,0,22.5,0,23.5,0,23.5,0,23.5,3962.027,1,42251.682,33
1981,144651.168,36,192301.575,17,71417.373,2,46018.769,1,35498.289,13,5953.794,31,0,22.5,0,23.5,0,23.5,0,23.5,4085.028,3,27758.715,1
1982,71321.71,15,203890.34,21,234511.573,32,84631.161,27,41695.983,28,6722.607,41,0,22.5,0,23.5,0,23.5,0,23.5,4793.096,6,31893.9,5
1983,97269.839,24,174947.932,15,161648.98,17,77375.331,23,35674.977,15,5990.822,32,0,22.5,0,23.5,0,23.5,0,23.5,5194.343,8,31798.543,4
1984,126374.986,33,225977.72,31,219233.627,28,97757.624,32,45224.342,33,6580.929,38,0,22.5,0,23.5,0,23.5,0,23.5,4219.438,5,30458.636,2
1985,174415.944,40,262808.002,41,254579.881,38,103266.678,33,52065.764,37,5118.298,16,0,22.5,0,23.5,0,23.5,0,23.5,5495.454,9,45591.517,41
1986,186426.082,44,268958.014,44,262913.947,41,103700.685,34,38587.792,22,3484.884,1,0,22.5,0,23.5,0,23.5,0,23.5,4051.916,2,36913.268,16
1987,153021.583,38,244926.587,35,226764.071,29,120165.223,38,32679.583,4,4801.313,12,0,22.5,0,23.5,0,23.5,0,23.5,10712.961,44,,
1988,,,241625.773,34,230334.944,30,107686.635,36,52070.946,38,6590.608,39,0,22.5,0,23.5,0,23.5,0,23.5,11158.209,47,46331.916,42
